stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,6,0,1,0,0,0,0,1,0,5,0,0,0,1,0,0,2,2,0,0,0,2,1,0,2,13,2,0,0,0,0
 24-34,0,0,0,0.82,7.39,0,4.93,0.82,0,0,0,0,0,4.93,0,0,0,0.82,0,0,8.21,12.31,0,0,0.82,0,0,0,0.82,14.78,12.31,0,0.82,0,0
 36-46,0,0,0,0.81,9.67,0,4.03,5.64,0,0,0,0,0,4.03,0,0,0,0.81,0,0,4.03,17.72,0,0,0,0,1.61,0,0,1.61,12.89,0,0,0,0
 48-58,0,0,0,0,40.74,0,12.05,2.3,0,0,1.15,0,0.57,5.16,0.57,0,1.15,1.72,0,0,2.3,21.23,0.57,1.15,1.15,0,2.3,0,1.15,0,4.59,0,0.57,0,0
 60-70,0,0,0,0.98,89.32,0,89.32,2.94,0.98,0,2.94,0,0,6.87,0,0.98,0,4.91,0.98,0,2.94,32.39,0,2.94,2.94,0,0,0.98,0,0,10.8,0,1.96,0,0
 72-82,0,0,0,0.98,217.93,0,152.16,1.96,0,0.98,2.94,0,0.98,21.6,0.98,0.98,0,7.85,0,0.98,0.98,54.97,0,2.94,3.93,0,1.96,0,0,0,9.82,1.96,3.93,0,1.96
 84-94,0,0,0,0,185.86,0,79.65,3.19,0,0,7.43,1.06,0,38.23,0,3.19,0,7.43,0,1.06,0,27.61,0,0,8.5,0,1.06,0,0,0,5.31,0,2.12,0,1.06
 96-106,0,0,0,2.19,182.51,0,89.61,3.28,1.09,0,6.56,0,2.19,40.44,1.09,0,0,8.74,0,0,2.19,27.32,0,1.09,7.65,0,3.28,0,1.09,0,5.46,0,5.46,0,0
108-118,0,0.77,0,2.3,74.3,0.77,59.75,3.83,0.77,1.53,4.6,0,1.53,31.4,0,2.3,0,1.53,0,0,1.53,28.34,0,0.77,6.89,0,0.77,0,0,0,0,0.77,3.83,0.77,0
120,0,0,0,1.96,84.27,0,50.95,0,0,0,5.88,0,0,60.75,0,1.96,1.96,5.88,0,0,0,39.2,0,1.96,5.88,0,1.96,0,0,0,3.92,0,3.92,0,0
