stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,41,2,0,1,0,0,1,0,0,0,2,14,0,0,0,0
 24-34,0,0,0.82,2.46,0,0,11.49,0,0,0,2.46,0,0,0,0,0.82,0,0,0,0,7.39,0,2.46,161.71,0,2.46,0.82,0,0,0.82,0,0.82,0,0,55.82,0,1.64,0,0.82
 36-46,0,0,0,0,0,0,24.17,0.81,0,0,1.61,0,0,0,0,0,0,0,0.81,0.81,4.03,0,0.81,254.59,0,2.42,0,0,0,0.81,0,0,0.81,0,63.65,0,1.61,0,1.61
 48-58,0,0,1.15,0.57,0.57,0,84.35,0.57,0,0,13.2,0.57,0,0,0.57,0,0,0,1.72,0.57,15.49,0,0.57,337.97,0.57,2.3,0.57,0,0,2.3,0,0,0,0,60.82,0,1.15,0,1.15
 60-70,0,0,0.98,1.96,0.98,0,165.88,0,0,0,13.74,0.98,0,0.98,0,0,0.98,0.98,0.98,0.98,21.59,0.98,1.96,399.48,0.98,0,0,0,0,1.96,0,0.98,0,0,43.19,0,0.98,0,1.96
 72-82,0,0,0.98,4.91,0,0,201.24,0,0,1.96,21.6,0.98,0,0,0,1.96,0,0.98,0,0.98,22.58,1.96,1.96,367.14,0,2.94,3.93,0,0,1.96,0,2.94,0,0,26.5,0.98,4.91,0,1.96
 84-94,0,0,2.12,3.19,3.19,0,134.88,0,1.06,0,15.93,1.06,0,0,1.06,0,0,0,1.06,0,8.5,3.19,6.37,193.29,0,1.06,2.12,0,0,7.43,0,0,0,0,13.81,0,1.06,1.06,0
 96-106,0,0,2.19,2.19,0,0,92.89,1.09,0,0,9.84,0,0,0,2.19,0,2.19,1.09,0,2.19,8.74,1.09,0,110.38,1.09,2.19,4.37,0,0,2.19,0,0,0,0,7.65,0,3.28,0,0
108-118,0,0,0.77,1.53,0,3.06,65.11,0,0,0.77,7.66,0.77,0,0,0.77,1.53,0.77,0.77,3.83,0,9.19,0.77,3.06,144,0,1.53,1.53,0,0.77,0.77,0,0,0,0,2.3,0,0.77,0,0.77
120,0,0,0,5.88,0,0,45.08,0,0,0,19.6,3.92,0,0,1.96,1.96,0,0,0,0,7.84,0,1.96,145.02,0,0,3.92,0,0,0,0,0,0,0,7.84,0,0,0,0
