stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0
  5-6,24.52,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0
  7-9,5.26,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,10.51,7.89,0,55.2,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,37.76,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,35,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0.82,0.82,0.82,0.82,0.82,0,0,56.64,0,0,0,0,0,32.01,0,0,0,0.82,0,1.64,2.46,0,1.64,0
 36-46,0,0,0,0,0,3.22,0,1.61,0,0,62.84,0,0.81,0,0,0,31.42,0,0.81,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,1.15,0,1.15,0,0,55.09,0,0,0,0,0,12.05,0,0,0,0.57,0,0,0,0,0.57,0
 60-70,0,0,0,0.98,0,3.93,0,0.98,0,0,65.76,0,0,0,0,0,14.72,0,0,0,0,0,0,0.98,0,0,0.98
 72-82,0,0,0,0,0,6.87,0,0,0,0,100.13,0,0,0.98,0,0,11.78,0,0,0,0,0,0,0,0.98,1.96,0
 84-94,0,0,0,0,0,3.19,0,0,0,0,127.44,0,0,1.06,0,0,6.37,1.06,0,0,0,0,0,0,0,3.19,0
 96-106,0,0,0,0,0,3.28,0,0,0,1.09,144.26,2.19,0,2.19,0,0,4.37,0,0,0,2.19,0,0,0,0,6.56,0
108-118,0,0,0,0,1.53,1.53,0,1.53,0,0,121.79,0,0,0.77,0,0,9.19,0,0,0,0,0,0,0.77,0,2.3,0
120,0,0,0,1.96,1.96,3.92,0,0,0,0,156.78,0,0,1.96,1.96,1.96,3.92,0,0,0,1.96,0,0,0,0,0,0
