stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2,26,13,0,13,0,1,0,3,3,1,1,0,0,0,0,0,0,14,0,0,13,152,2,1,3,6,0,2,0,25,0,3,26,63,0,0,5,0,0
 24-34,0,1.64,18.06,1.64,0,21.34,0,0,0,5.75,0.82,0,1.64,0,0.82,0,0,0.82,0,22.98,1.64,0,10.67,201.11,0.82,0.82,2.46,0,0,14.78,0,0,1.64,0,7.39,64.85,0,0,6.57,0,0.82
 36-46,0,0,5.64,0,0,37.06,0,0.81,1.61,6.45,0.81,0,0,0,0,1.61,1.61,0,0.81,31.42,0,0.81,8.86,205.45,1.61,3.22,0.81,0,0.81,6.45,0,0,0.81,0,0.81,58.01,0,0,4.83,0,0
 48-58,0,0,2.3,0.57,0,45.9,1.15,1.15,1.72,16.64,1.15,0,0,1.72,0,0.57,0.57,0,1.15,24.67,1.15,2.3,8.03,127.38,0,0.57,1.72,0,0.57,5.16,0,0,0,0,0,44.76,0,1.15,5.16,0,0
 60-70,0.98,0,5.89,1.96,0,57.91,0.98,1.96,1.96,15.7,0.98,0,1.96,0.98,0,0,3.93,0.98,0.98,38.28,0.98,0,2.94,124.65,0,1.96,1.96,0.98,0.98,7.85,0,0,0,0,0,28.46,0,0,7.85,0.98,0
 72-82,0.98,0,10.8,9.82,0,85.4,0.98,0,5.89,34.36,1.96,0,0.98,1.96,0.98,0.98,0.98,0.98,0,62.83,1.96,1.96,10.8,172.77,0,3.93,0,0,0.98,7.85,0,0,0,0,0,26.5,0,0.98,13.74,0.98,0
 84-94,2.12,0,10.62,13.81,0,66.91,1.06,1.06,4.25,15.93,7.43,0,2.12,13.81,2.12,1.06,2.12,3.19,0,44.61,0,0,9.56,89.21,0,1.06,5.31,0,1.06,32.92,0,0,0,1.06,0,6.37,0,1.06,6.37,0,1.06
 96-106,2.19,0,15.3,17.49,0,48.09,0,3.28,0,18.58,4.37,0,2.19,6.56,4.37,2.19,1.09,0,1.09,39.34,0,4.37,7.65,90.71,0,2.19,6.56,0,2.19,34.97,0,0,0,0,0,7.65,2.19,0,13.11,2.19,0
108-118,0.77,0,13.02,16.09,0.77,58.98,0,5.36,0,9.96,3.83,0,0,12.26,3.06,2.3,3.06,2.3,0.77,34.47,0,0.77,8.43,83.49,1.53,1.53,6.89,0,0,17.62,0.77,0,0,0,0,4.6,2.3,0,7.66,2.3,1.53
120,0,0,15.68,7.84,1.96,37.24,3.92,1.96,0,9.8,15.68,0,0,11.76,3.92,0,1.96,0,1.96,27.44,3.92,0,1.96,94.07,5.88,3.92,9.8,0,0,31.36,0,0,1.96,0,0,3.92,0,0,9.8,3.92,1.96
