stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,5,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,37.76,1.64,0.82,0,0,7.39,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,143.41,0,0,0,0,21.75,0,0
 48-58,0,0,0.57,0,7.46,1.15,0,0,0,0,0,1.72,0,0,177.88,1.72,0,0,0,20.66,0,0
 60-70,0,0,0.98,0,64.78,1.96,0,0,1.96,0,0,1.96,0,0,525.11,0,0,0,0,35.33,0,0
 72-82,0,0,0,0,186.52,9.82,0,0,1.96,0,0,1.96,0,0,583.11,0.98,0,0,0.98,40.25,0,0
 84-94,0,0,5.31,0,130.63,13.81,2.12,1.06,1.06,1.06,0,5.31,0,1.06,350.47,0,0,1.06,1.06,15.93,0,0
 96-106,0,0,4.37,1.09,153,12.02,0,0,0,0,2.19,8.74,0,0,286.33,0,0,0,1.09,8.74,0,0
108-118,0,0,2.3,0,124.09,8.43,1.53,0,0.77,0,0,3.06,0,0,309.45,0,0,0,0,3.83,1.53,0.77
120,0,0,0,1.96,105.83,13.72,0,0,0,0,3.92,5.88,0,1.96,460.55,0,0,1.96,0,19.6,3.92,0
