stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,12.59,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,7,1,5,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,7,11,0,0,0,1,0,0,12,0,1,11,3,0,0,0,0,1
 24-34,0,0,0,0,8.21,0.82,1.64,0,0,0,0,0.82,0,0,3.28,0,0,0,0,9.85,0.82,0,4.93,4.93,0,0,0,0,0,0,0,0,0.82,2.46,2.46,0,0,1.64,0,0
 36-46,0,0,0,0,8.06,0,1.61,0,1.61,0.81,0,0,0,0,0.81,0,1.61,0,0,8.06,0,0,4.03,3.22,0,0,0,0,0,0.81,0,0.81,0,0.81,0.81,0,0,1.61,0,0
 48-58,0,0,0,0,3.44,0,1.15,1.15,1.15,1.15,1.15,1.15,0,0,1.72,0,0,0.57,0,8.61,0,0,5.16,3.44,0.57,0,0.57,0,0,1.15,0,0,0.57,0,0,0,0,2.3,0,0
 60-70,0,0,0,0,4.91,0,0,0,1.96,0.98,5.89,0,0,0.98,0.98,0,0,0,0,12.76,0,0.98,0.98,3.93,0,0,0,0,0,0,0,0,0,0,0.98,0,0,1.96,0,0
 72-82,0,0,0.98,0,4.91,0,3.93,0,0,2.94,6.87,0,0,1.96,0,0,0,0.98,0,36.32,0.98,0.98,2.94,5.89,0,0,0.98,0,0,0.98,0,0,0,0,0.98,0.98,3.93,5.89,0,0.98
 84-94,0,0,0,0,8.5,0,4.25,0,3.19,0,0,2.12,0,0,2.12,0,1.06,1.06,0,22.3,0,1.06,5.31,0,1.06,0,3.19,0,0,1.06,0,0,0,0,2.12,0,0,3.19,2.12,0
 96-106,0,0,0,0,7.65,1.09,5.46,1.09,0,0,4.37,1.09,0,1.09,2.19,0,0,0,0,34.97,2.19,3.28,8.74,7.65,0,1.09,3.28,0,1.09,4.37,0,0,0,0,1.09,1.09,1.09,14.21,2.19,0
108-118,0,0,0,0,14.55,0,1.53,0.77,8.43,1.53,4.6,2.3,0,1.53,2.3,2.3,1.53,0,0.77,37.53,0.77,0.77,6.13,3.83,1.53,0,1.53,0,0,1.53,0,0,0.77,0,0,0.77,0,8.43,1.53,0
120,0,0,0,0,25.48,0,7.84,0,7.84,1.96,7.84,1.96,0,0,1.96,0,1.96,0,0,27.44,0,1.96,13.72,0,0,1.96,0,0,0,1.96,0,0,0,0,0,1.96,0,7.84,1.96,0
