stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.09,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,40.91,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,19,0,5,0,0,1,6,2,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0
 24-34,0,0,0,4.93,0,0,4.93,0.82,1.64,2.46,0,0,0,0.82,0,1.64,32.01,0,42.68,0,0,32.01,17.24,0,0,0,0,0,1.64,0,0,0,0,0,2.46,0,0,0,0,0.82
 36-46,0,0,0.81,0.81,0,0,4.03,0.81,0,7.25,0.81,0.81,0,2.42,0,0,13.7,0,142.6,0,0,41.09,14.5,0.81,0,2.42,0,0,4.03,0.81,0,0.81,0,0,4.83,0,0,0,0,0
 48-58,0,0,0,1.15,0.57,0,10.9,5.16,0,10.9,2.87,0,0,0,0,0,11.48,1.15,152.06,0,3.44,35.58,23.53,0,0.57,0,0,1.15,9.75,0,0,1.72,0.57,0,1.72,0,0,0.57,0,1.72
 60-70,0,0,0,1.96,0.98,1.96,9.82,17.67,0,17.67,2.94,0.98,0,1.96,0,0,10.8,2.94,151.15,0,0.98,27.48,20.61,0,0,0.98,0,0.98,5.89,0,0,0.98,0.98,0,1.96,0,0.98,0.98,0,3.93
 72-82,0,0,0,2.94,0.98,27.49,15.71,5.89,2.94,24.54,9.82,0,0,0,0.98,0,42.21,0.98,242.47,0,5.89,41.23,31.41,0,0,0.98,0,0,3.93,0,0,0.98,0.98,0,2.94,1.96,0.98,0,3.93,0.98
 84-94,0,0,0,4.25,0,43.54,15.93,4.25,0,19.12,3.19,4.25,0,0,0,1.06,126.38,0,145.5,0,6.37,22.3,19.12,0,0,3.19,0,1.06,8.5,0,0,3.19,2.12,0,1.06,0,2.12,1.06,2.12,1.06
 96-106,0,0,0,4.37,0,74.31,25.14,10.93,0,18.58,5.46,3.28,0,2.19,1.09,0,237.15,0,160.65,0,4.37,22.95,46.99,0,0,4.37,0,1.09,12.02,0,0,0,1.09,0,0,0,0,1.09,3.28,1.09
108-118,0,0,0,6.89,0.77,121.02,9.19,13.02,2.3,10.72,9.96,3.83,0,0,0.77,0,313.28,0,150.89,0.77,4.6,39.83,29.87,1.53,0,2.3,0,0.77,4.6,0,0,0.77,0.77,0,0,0,0,0.77,3.06,0.77
120,0,0,0,5.88,0,54.87,13.72,19.6,0,11.76,11.76,15.68,0,1.96,0,0,166.58,1.96,164.62,0,0,25.48,27.44,0,0,0,0,0,0,0,0,9.8,3.92,0,1.96,1.96,3.92,0,1.96,0
