stage,axial,blastomeres,eye,fast.muscle,glial,gut,iridophores,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0.82,0,3.28,0,6.57,0,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,12.09,0,0,0.81,7.25,0,0.81,0,0,0,4.03,0,0
 48-58,0,0,2.3,0,0,0,25.82,1.72,1.15,0,4.02,0.57,4.02,0,0.57,1.15,0,0,0
 60-70,0,0,0.98,0,0,0,51.04,4.91,0.98,0,6.87,0,12.76,0,0.98,0.98,0.98,0,0
 72-82,0,0,0.98,0.98,1.96,0,51.05,7.85,0.98,0,11.78,0,28.47,0,0,0.98,0,0,0
 84-94,0,0,1.06,0,3.19,0,93.46,7.43,2.12,0,3.19,0,41.42,0,0,1.06,0,0,1.06
 96-106,0,0,2.19,0,1.09,1.09,77.59,25.14,2.19,0,3.28,0,59.01,0,0,0,2.19,0,0
108-118,0,0,1.53,0,0,0,85.02,12.26,0,0,5.36,0,29.11,0,0,0.77,0,0,0.77
120,0,0,1.96,0,0,0,58.79,7.84,1.96,0,5.88,0,41.16,0,0,1.96,0,1.96,0
