stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,4,2,0,0,0,5,2,1,1,0,0,0,0,0,0,4,0,4,93,3,1,3,1,0,0,1,3,0,9,4,49,0,0,1,0,0
 24-34,0,2.46,0,0.82,0.82,12.31,0,0,0,1.64,0,0,0.82,1.64,0,0,0,0,0,4.1,0,6.57,322.6,0,5.75,11.49,0,0,0,0,0,0.82,0,0,164.17,0,0,4.93,0,0.82
 36-46,0,0.81,0,2.42,0,103.13,0,0,0,13.7,0,0,0,0,0,0,0.81,0,0,23.36,1.61,2.42,680.79,0,5.64,4.83,0,0,0.81,0,0,0,0,0,253.79,0,0,4.83,0,0
 48-58,0,0,0,0.57,0,189.93,0.57,0.57,1.15,32.71,0,0,0,1.15,0,0.57,0,0.57,0,20.66,0.57,1.15,716.68,0,2.3,2.87,0,0,1.15,0,0,0,0,0,204.27,0,0,1.72,0,0
 60-70,0,0,0,1.96,0,254.21,0,0.98,0,58.89,0,0,0,0.98,0,0,0.98,0,0,19.63,0,0,951.09,0,1.96,13.74,0,0,0.98,0,0,0,0,0,168.82,0,0.98,0,0,0
 72-82,0,1.96,0.98,5.89,0.98,240.51,0,0,0,86.39,1.96,0,0,0.98,0,3.93,0.98,1.96,0,42.21,3.93,2.94,841.28,0,3.93,18.65,0,0,0,0,0,0,0,0,78.53,1.96,0,0.98,1.96,1.96
 84-94,0,1.06,0,5.31,0,151.87,0,0,1.06,69.03,1.06,0,1.06,1.06,0,6.37,2.12,0,0,25.49,1.06,1.06,407.82,0,1.06,16.99,0,1.06,0,0,0,0,0,0,50.98,1.06,1.06,1.06,3.19,0
 96-106,0,0,0,6.56,1.09,132.23,0,3.28,0,93.98,0,0,3.28,2.19,0,2.19,2.19,0,0,25.14,1.09,0,338.78,0,3.28,33.88,0,1.09,0,0,0,0,0,0,22.95,0,0,2.19,2.19,1.09
108-118,0,0.77,0,6.13,0.77,104.94,0,0.77,0.77,79.66,0,0,0.77,1.53,0.77,5.36,1.53,0,0.77,15.32,3.06,0,360,0.77,3.83,23.74,0,0,1.53,0,0,0,0,0,21.45,0.77,0,0.77,0.77,0.77
120,0,0,0,7.84,0,92.11,0,0,0,52.91,0,0,0,3.92,0,0,0,0,0,3.92,0,1.96,288.09,0,5.88,13.72,0,0,0,0,0,0,0,0,13.72,0,3.92,1.96,0,0
