stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,melanocytes,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,144.96,2319.32,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0
  5-6,140.98,2641.87,6.13,0,0,0,0,6.13,0,0,55.17,18.39,0,24.52,36.78,0,0,0,0
  7-9,18.4,28.92,42.06,0,0,55.2,0,34.17,0,0,680.84,23.66,0,254.99,0,0,0,0,0
 10-12,0,0,3.15,0,0,18.88,0,0,0,0,116.44,0,0,62.94,3.15,0,6.29,0,0
 14-21,0,0,1,3,2,2,0,0,0,0,17,0,1,0,0,1,0,2,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,7.39,0,0,0,0,0,0,1.64,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,1.15,0,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,7.85,0.98,0,0,0,2.94,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,0,0,0.77,0,1.53,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0
