stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,1,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,1,0,0,2,0,0,0,0
 24-34,0,0,1.64,0,0,13.95,0,0.82,0,0,0,0,0,0,0.82,0,1.64,16.42,0,1.64,0.82,0,0,0.82,9.85,0,0,0,0
 36-46,0,0,0,0,0,18.53,0,0,0,0.81,0,0.81,0.81,0,3.22,0,0.81,13.7,0,1.61,2.42,0,0,0,12.09,0,0,0.81,0
 48-58,0,0,1.15,0.57,0,52.79,0,0.57,0,0.57,0,0,1.15,0,0.57,0,1.15,9.75,0,0,1.72,0,0,0,2.3,0,0,0,0
 60-70,0,0,0,0,0,323.9,0,0,1.96,0.98,0,1.96,0,0,8.83,0,0.98,9.82,0,0.98,1.96,0,0,1.96,2.94,0,0.98,0,0
 72-82,0,0,0.98,0,0,345.54,0,0.98,0,5.89,2.94,0,1.96,0.98,7.85,0,0,17.67,0,0,12.76,0,0,1.96,1.96,0.98,0,0,0
 84-94,0,0,2.12,0,0,363.22,0,0,0,5.31,2.12,0,2.12,0,5.31,3.19,1.06,7.43,0,0,12.74,0,0,3.19,1.06,0,0,1.06,2.12
 96-106,0,0,1.09,6.56,0,263.38,0,0,0,4.37,0,0,4.37,0,16.39,2.19,1.09,10.93,1.09,2.19,17.49,0,1.09,3.28,0,0,1.09,0,0
108-118,0,0,2.3,1.53,0.77,198.38,0.77,0.77,0,6.13,0,0,3.83,0,7.66,0,0.77,16.85,0,0.77,14.55,0,0,2.3,0,0,0.77,0.77,0
120,0,0,5.88,5.88,0,172.46,0,0,0,7.84,0,0,0,0,7.84,1.96,0,21.56,0,1.96,11.76,0,0,1.96,1.96,0,0,0,0
