stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,slow.muscle,somites,spinal.cord,vascular.smooth.muscle
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,18.39,214.54,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,6.13,0,0,0,0,0
  7-9,5.26,2.63,0,7.89,0,0,23.66,0,0,5.26,0,131.44,5.26,0,0,55.2,0,0,0,0,0,0
 10-12,0,15.73,0,6.29,0,0,12.59,0,0,0,0,125.88,3.15,0,0,56.65,0,3.15,0,0,3.15,0
 14-21,0,0,0,0,2,0,1,0,0,0,1,7,1,0,0,0,0,0,1,2,1,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0.82,18.06,0,0,0,0,0.82,0,0,0,2.46,0
 36-46,0,0,0,0,0,0,6.45,0,2.42,0,0.81,22.56,0,0.81,0,0,0,0,0,0,3.22,0.81
 48-58,0,0,0,0,0,0,4.02,0,0.57,0,1.15,12.62,0,0.57,0,0,0,0,0,0,2.3,0
 60-70,0,0,0,0,0,0,5.89,0,3.93,0,1.96,16.69,0,0,0,0,0,0,0,0,2.94,0
 72-82,0,0,0.98,0,0.98,0,2.94,0.98,1.96,0,2.94,7.85,0,0,0.98,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,1.06,0,1.06,0,0,3.19,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,1.09,0,2.19,3.28,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0.77,2.3,0,3.06,0,0.77,3.06,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,1.96,0,1.96,0,0,0,0,0
