stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,gut,hatching.gland,lateral.line,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,39.53,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,140.98,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0
  7-9,0,2.63,0,0,18.4,0,0,0,5.26,0,0,128.81,2.63,42.06,0,0,0
 10-12,0,0,9.44,0,6.29,0,0,0,3.15,0,0,119.58,3.15,22.03,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,1,4
 24-34,0,0,0.82,0.82,0,0,0,0,0,0,0,2.46,0,0,0,0,1.64
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0.57,0,0,0,0,0.57,0.57,0,0,0,0,1.15
 60-70,0,0,0,0,7.85,0,0,0,0,0.98,1.96,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0,0,0.77,1.53,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0
