stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,191,8,2,0,0,0,1,0,0,0,0,1,0,4,0,0,109,0,0,88,72,1,0,32,0,52,10,1,45,3,0,0,3,0,0
 24-34,0,0,0.82,183.05,1.64,3.28,0.82,3.28,2.46,0,0,0,0,0.82,0,0,32.01,0.82,0,190.44,0.82,0,27.09,86.19,0,4.1,36.94,0,95.22,0,0,14.78,4.1,0,0,4.1,0,0
 36-46,0,0,0,85.4,0,5.64,1.61,2.42,0.81,0,0,0,0,0,1.61,0,27.39,0,0.81,298.9,2.42,0.81,26.59,87.01,0,6.45,19.34,0,79.76,0,0,0,3.22,0,0,4.83,0,0.81
 48-58,0.57,0,0,67.14,0,15.49,2.87,5.74,1.15,6.31,0,0,0.57,0,1.15,0,25.82,0,0,562.9,2.3,2.87,61.97,135.99,0.57,2.87,25.82,0.57,44.76,0,0,0,7.46,0,1.72,2.87,0,0
 60-70,0,0,0,74.6,0.98,19.63,2.94,5.89,3.93,3.93,0,0,0,0,2.94,0,28.46,0,0,699.83,1.96,1.96,51.04,130.54,0,2.94,14.72,0,34.35,0,0.98,0,3.93,0,0.98,8.83,0,0.98
 72-82,0,0,0,70.68,0,58.9,2.94,4.91,7.85,10.8,1.96,1.96,0.98,0,2.94,0.98,45.16,0,0,1044.49,2.94,3.93,65.77,172.77,0,9.82,45.16,0,35.34,0,0,0,4.91,0.98,7.85,11.78,2.94,1.96
 84-94,0,0,0,123.2,0,71.16,1.06,10.62,8.5,11.68,1.06,1.06,0,2.12,6.37,2.12,57.35,0,0,722.19,10.62,2.12,44.61,113.64,1.06,19.12,39.3,0,80.71,0,0,0,2.12,1.06,7.43,7.43,2.12,0
 96-106,0,0,0,175.95,1.09,53.55,7.65,12.02,9.84,14.21,2.19,0,1.09,3.28,4.37,0,92.89,4.37,0,739.86,16.39,2.19,53.55,138.79,1.09,14.21,41.53,0,85.24,0,0,0,1.09,0,6.56,18.58,1.09,3.28
108-118,0,0,0.77,114.89,1.53,18.38,7.66,7.66,9.96,11.49,2.3,0,0,1.53,2.3,0,52.09,0.77,1.53,608.94,3.06,3.83,54.38,150.89,2.3,13.79,39.06,1.53,72.77,0,0,0,0,1.53,4.6,7.66,1.53,0.77
120,1.96,0,0,94.07,1.96,15.68,0,5.88,11.76,11.76,1.96,0,1.96,1.96,1.96,0,25.48,1.96,0,435.07,5.88,3.92,45.08,117.59,0,7.84,17.64,0,64.67,0,0,0,0,1.96,3.92,7.84,3.92,0
