stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,0,0,0,0,0,0,0,0,0,0,0,0,123.55,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,22.03,0,0,0,0,0,103.85,0,0,0,0,0,0,0,0,0,0,28.32,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,19,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0
 24-34,0,0,0,0,57.46,1.64,0,3.28,0,0.82,0.82,0.82,0,0,1.64,0.82,7.39,9.85,0,0.82,7.39,3.28,0,9.03,148.57,0.82,4.1,0.82,0,0,28.73,0,0,0,0,13.13,0,0,0.82,0,0
 36-46,0,0,0,0,25.78,0,0,7.25,0.81,3.22,0,2.42,0,0,0,0,1.61,5.64,0,0,10.47,2.42,0,8.86,178.05,0,4.83,0.81,0,0,30.62,0,0,0,0,14.5,0,0,1.61,0,0
 48-58,0,0,0,0,33.85,0.57,0,5.74,0,6.89,0.57,2.87,0,1.15,0,0,2.3,3.44,0.57,0.57,10.9,2.87,0.57,4.02,101.56,0,5.16,0.57,0,0,18.94,0,0,0.57,0,7.46,0,0,0.57,0,0
 60-70,0,0,0,0,24.54,0.98,0,19.63,0,3.93,0,0.98,1.96,0.98,0,0.98,2.94,7.85,0,0,9.82,2.94,0.98,1.96,59.87,0,0.98,0,0,0,19.63,0,0,0,0,0.98,0.98,0,0,0,0
 72-82,0,0,0,0,29.45,1.96,0,27.49,0,5.89,0.98,1.96,0,0,0,0.98,1.96,7.85,0.98,0,17.67,0,1.96,3.93,73.62,0,6.87,2.94,0,0,11.78,0.98,0,0,0,0,0,1.96,1.96,0.98,0.98
 84-94,0,0,3.19,0,53.1,0,0,18.05,0,22.3,0,2.12,2.12,0,0,0,6.37,11.68,0,0,4.25,0,1.06,1.06,64.78,0,5.31,0,0,0,42.48,0,0,0,0,1.06,1.06,1.06,1.06,0,0
 96-106,0,0,1.09,0,80.87,2.19,1.09,9.84,0,14.21,3.28,6.56,6.56,0,1.09,1.09,8.74,19.67,5.46,0,20.76,2.19,1.09,0,59.01,0,8.74,1.09,0,1.09,57.92,3.28,0,0,0,0,3.28,0,0,1.09,0
108-118,0,0,0.77,0,57.45,0.77,0,8.43,0,26.81,0,7.66,1.53,0.77,0,0.77,4.6,9.96,0.77,0,24.51,5.36,0.77,0.77,44.43,0,5.36,0.77,0,1.53,69.7,0,0.77,0,0,0.77,4.6,0,0.77,0,0.77
120,0,0,0,0,66.63,1.96,0,11.76,0,13.72,1.96,5.88,3.92,0,0,0,0,5.88,0,0,35.28,0,0,5.88,37.24,0,3.92,1.96,0,3.92,31.36,0,0,0,0,0,0,0,1.96,0,0
