stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,34,3,0,0,0,1,6,0,0,0,0,0,0,0,0,3,0,0,1,4,1,0,0,0,0,2,0,28,0,24,0,5
 24-34,0,0,0,0,4.93,5.75,8.21,0,0,1.64,0,0.82,0,0.82,0,0,0,0,0,1.64,12.31,0.82,0,5.75,12.31,0,0,0,0,0,0,0,2.46,0,95.22,0,9.03
 36-46,0,0,0,0,0,0,4.03,0,0,3.22,0.81,0,0,2.42,0,0,2.42,4.03,0,0.81,22.56,0,0.81,6.45,14.5,0,0,0,0,0,0,0,4.03,0,43.51,0,8.86
 48-58,0,0,0,0,0.57,0,5.74,0,0,12.05,3.44,0,0,2.3,0,0,5.74,1.15,0,0.57,36.72,0,0,4.02,11.48,0,0,0,0,0.57,0,0,2.3,1.15,42.46,0,9.75
 60-70,0,0,0,0,2.94,0,3.93,0,1.96,12.76,6.87,0,0,1.96,0.98,0,13.74,0.98,0,1.96,86.37,0,0,6.87,22.58,0,0.98,0,0.98,3.93,0,0,2.94,0,27.48,0.98,7.85
 72-82,0,0,0,0,0,0,17.67,0.98,0,18.65,21.6,0,0.98,3.93,0,0,15.71,12.76,0,0.98,151.18,0.98,7.85,9.82,34.36,0,0.98,0,1.96,26.5,0,0,1.96,0.98,53.99,8.83,10.8
 84-94,0,0,0,0,7.43,0,14.87,1.06,0,12.74,12.74,1.06,2.12,3.19,0,0,35.05,9.56,0,5.31,101.96,0,8.5,12.74,24.43,0,0,0,2.12,70.09,0,0,0,4.25,58.41,6.37,18.05
 96-106,0,0,0,0,6.56,2.19,18.58,0,2.19,10.93,21.86,0,0,8.74,0,1.09,33.88,12.02,2.19,3.28,112.56,2.19,3.28,8.74,30.6,0,5.46,0,1.09,61.2,0,0,2.19,3.28,56.83,16.39,25.14
108-118,0,0,0.77,0,3.06,0,9.96,3.83,0.77,10.72,16.85,0,0,4.6,1.53,0.77,41.36,8.43,0,4.6,121.02,0,3.06,9.96,26.81,0,3.83,0,3.06,48.26,0,0,0.77,3.83,46.72,13.02,26.81
120,0,0,0,0,3.92,0,5.88,0,1.96,3.92,23.52,0,0,3.92,0,0,27.44,3.92,0,0,84.27,0,0,7.84,29.4,0,3.92,0,0,15.68,0,1.96,0,1.96,47.03,19.6,9.8
