stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,21.34,0,0,0,18.06,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,1.61,0,0,0,0,2.42,0,0,31.42,0,0,0,16.11,1.61,0,0,0,0
 48-58,0,0,0,0,1.72,0,2.87,0,0.57,0,0,2.87,0,0,17.21,0,1.15,0,29.84,2.3,0,0,0,0
 60-70,0,0,1.96,0,1.96,0,0.98,0,0.98,0,0,0.98,0,0.98,1.96,0,0,0,75.58,1.96,0,0,0,0
 72-82,0,0,3.93,0,1.96,0,0,0,0,0,0,7.85,0,2.94,4.91,0,0,0,116.82,0.98,0,0.98,0,0
 84-94,0,0,7.43,0,2.12,3.19,1.06,0,8.5,1.06,1.06,0,4.25,1.06,2.12,2.12,0,0,430.13,0,0,0,0,0
 96-106,0,0,18.58,1.09,1.09,3.28,2.19,1.09,3.28,0,0,5.46,4.37,1.09,13.11,3.28,0,0,365.01,0,0,0,0,1.09
108-118,0,0,20.68,0,0,6.89,1.53,0.77,3.83,0,1.53,1.53,3.06,0,4.6,1.53,0,0.77,248.94,0,0.77,0,0.77,0
120,0,0,13.72,0,0,5.88,1.96,0,11.76,0,0,0,1.96,0,11.76,0,0,0,213.62,0,0,0,0,0
