stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,lateral_line,mesenchyme,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,1.61,0,0
 48-58,0.57,2.3,0,0,0.57,0,1.15,6.31,0,0,0,0,1.72,0,0
 60-70,0,3.93,0,0,0,0,0.98,3.93,0.98,0,0,0,0,0.98,0.98
 72-82,0,0.98,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,1.06,0,1.06,0,0,1.06,1.06,0,0,2.12,0,0,0,0
 96-106,0,0,0,0,0,1.09,4.37,5.46,0,0,1.09,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
