stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,0,13.14,0,0,13.14,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,76.23,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,28.32,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,3,4,0,0,5,0,0,1,0,0,0,0,0,0,4,0,0,7,50,3,1,1,1,2,1,8,0,13,32,0,0,0,0,0
 24-34,0,0,0,1.64,2.46,0,13.13,0.82,0,2.46,0,0,0,0,1.64,0.82,1.64,0.82,0.82,14.78,0,0,8.21,160.07,0,0,0.82,0,1.64,0,0,0,0,25.45,0,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,33.03,0,0.81,3.22,0,0,0,0.81,0.81,0,0,0,0,14.5,0,0.81,5.64,184.5,0.81,0,0.81,0,2.42,0,0,0,0,29.81,0,0,1.61,0,1.61
 48-58,0,0,0,0,0.57,0,61.4,0.57,0.57,9.75,0,0,0,0.57,0,0,0,0,0,16.64,0,1.15,1.72,158.37,0,1.15,0,0,0.57,0,0,0,0,30.41,0,0,0.57,0,0
 60-70,0,0,0.98,0,0.98,0,72.63,0.98,0,13.74,0,0,0,0.98,0,0,0,0,0,24.54,0,0.98,4.91,162.93,0,0,0.98,0,5.89,0,0,0.98,0,14.72,0,0.98,0.98,0,0
 72-82,0,0,0.98,0,2.94,2.94,52.03,0,0.98,9.82,1.96,0,0,1.96,0.98,0.98,0.98,0,0,32.39,0,0.98,4.91,125.65,0.98,0.98,0,0,2.94,0,0,0.98,0,9.82,0,0,4.91,0.98,0.98
 84-94,0,0,0,0,5.31,0,30.8,1.06,1.06,5.31,0,0,0,1.06,1.06,0,1.06,0,0,8.5,0,1.06,1.06,54.16,2.12,1.06,3.19,0,4.25,0,0,0,0,8.5,1.06,3.19,1.06,0,1.06
 96-106,0,0,0,0,1.09,5.46,15.3,0,0,7.65,0,0,0,4.37,0,0,0,0,0,15.3,1.09,2.19,1.09,36.06,0,0,2.19,0,4.37,0,0,1.09,0,2.19,0,0,0,1.09,1.09
108-118,0,0,0,0,4.6,0,13.02,1.53,0.77,4.6,0,0,0,0.77,0,3.06,0,0,0,6.13,0,0,0.77,42.89,0,0,2.3,0,2.3,0,0,1.53,0,3.06,0,0,0.77,0,0.77
120,0,0,0,0,11.76,0,31.36,0,0,15.68,3.92,0,0,0,0,0,1.96,0,0,7.84,1.96,1.96,1.96,62.71,1.96,1.96,0,0,7.84,0,0,1.96,0,1.96,0,0,3.92,0,0
