stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,98.07,527.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,34.17,13.14,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259.15,31.54,0,0,870.1,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,78.67,15.73,0,0,40.91,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,1765.45,37.76,0,0,544.43,0,0,0,9.44,0,0,6.29,0,0,0,0
 14-21,0,0,0,11,1,4,0,0,13,0,0,0,1,1,1,0,0,0,4,0,0,7,1084,4,3,0,10,0,1,4,0,0,5,726,0,0,0,0
 24-34,0,0,0,7.39,1.64,22.98,0,0,26.27,0.82,0,0,0,0,0.82,0.82,1.64,0,9.03,0,0,9.85,2508.54,0,6.57,2.46,0,0,4.1,0,0,0,3.28,462.96,0,1.64,0,0
 36-46,0,0,0,2.42,0,23.36,0,0,29,0,0,0,0,0,0,2.42,0.81,1.61,6.45,0,0,0.81,2100.38,0,0.81,1.61,0,0,1.61,0,0,0,0,467.29,0,0.81,0,0
 48-58,0,0,0,5.74,0,45.9,0.57,0.57,31.56,0,0,0,0,0.57,0,2.3,0,0,8.61,1.15,1.15,1.15,1268.11,0.57,0.57,0.57,0,0,1.72,0,0,0.57,0,353.46,0,0.57,0,1.15
 60-70,0,0,0,0,0,18.65,0,0,19.63,0,0,0,0.98,1.96,0,0,0,0,2.94,0,0,0,420.09,0.98,0,0.98,0,0,0.98,0,0,0,0,91.28,0,0,0,0
 72-82,0,0,0,0.98,0,23.56,0,0,45.16,0,0,0,0.98,0,0,1.96,0,0,5.89,0,0.98,0,340.64,0,0,0,0,0.98,0,0,0,0,0,37.3,0,0,1.96,0
 84-94,0,0,0,0,0,32.92,0,0,39.3,0,0,0,0,0,0,0,0,0,2.12,0,0,0,193.29,0,0,0,0,0,1.06,0,0,0,0,28.68,0,0,0,0
 96-106,0,0,0,3.28,0,19.67,0,0,31.69,0,0,1.09,0,0,0,0,1.09,0,6.56,0,0,1.09,136.61,0,0,0,0,0,0,0,0,0,0,12.02,1.09,0,0,0
108-118,0,0,0,3.83,0,8.43,0.77,0,27.57,0,0,0,0,0,0,0,0,0,1.53,0,0,0,172.34,0,0.77,0,0,0.77,0,0,0,0,0,7.66,0,0,0,0
120,0,0,0,1.96,0,29.4,0,0,23.52,0,0,0,3.92,0,0,0,1.96,0,3.92,0,1.96,0,111.71,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
