stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,melanocytes,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,9.67,0.81,0,0.81
 48-58,0,0,0,0.57,0,0,0,0,0,0,8.61,0,0,0.57
 60-70,0,0,0,1.96,0,0,0,0,0,0,22.58,0,0,0
 72-82,0,0,0,1.96,0.98,0,0,0,0.98,0.98,37.3,0,0,0.98
 84-94,0,0,0,2.12,0,0,0,1.06,1.06,0,30.8,0,0,0
 96-106,0,0,0,1.09,0,1.09,1.09,0,0,0,21.86,0,0,0
108-118,0,0.77,0.77,1.53,0,1.53,0.77,0,0.77,0,36.77,0,0,0.77
120,0,0,0,1.96,0,0,0,0,0,0,70.55,0,0,1.96
