stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,18.4,7.89,0,0,10.51,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,28.32,0,0,0,9.44,0,3.15,0,0,0,0
 14-21,0,0,0,0,1,1,1,0,16,0,0,0,1,0,1,18,0,0,0,1,0,6,17,0,1,0
 24-34,0,0,0,0,0,0,0.82,0,11.49,0.82,0,0.82,1.64,0,0.82,17.24,0,4.1,0,0,0,3.28,22.16,0,0.82,0
 36-46,0,0,0,0,0.81,0,1.61,0.81,23.36,0.81,0,0,3.22,0.81,2.42,24.17,0,12.89,2.42,0,0.81,5.64,47.53,0,0.81,0
 48-58,0,0,0,0,0.57,0,1.15,0,4.59,0.57,0,0,0.57,0,0.57,9.75,0,6.31,0.57,0,0,2.3,12.05,0,0.57,0.57
 60-70,0,0,0,0,0,0,0,0,1.96,0,0,2.94,0,0,0,1.96,0,3.93,2.94,0,1.96,0,5.89,0,0,0
 72-82,0,0,0.98,0,0,0.98,1.96,0,5.89,0,0,0,7.85,0.98,0,6.87,0,10.8,2.94,0,0,0,6.87,0,0,0
 84-94,0,0,0,0,0,0,0,0,3.19,0,0,1.06,0,0,0,2.12,0,1.06,4.25,0,0,0,2.12,0,1.06,0
 96-106,0,0,0,1.09,0,0,1.09,0,2.19,0,0,6.56,2.19,0,0,1.09,0,22.95,4.37,0,4.37,2.19,6.56,1.09,0,0
108-118,0,0,0,0,0.77,0,2.3,0,1.53,0,0.77,1.53,0,0,0,1.53,0,4.6,2.3,0,1.53,1.53,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,5.88,7.84,0,1.96,1.96,3.92,0,0,0
