stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
 24-34,0,0.82,1.64,0.82,0,0,0.82,0,0,0.82,0,4.1,0,0,0,0,0,25.45,0,0,0.82,10.67,0.82,0,0,0,0,0.82,0,1.64,0,0,0,0,0
 36-46,0,1.61,3.22,0,0,0,0,0,0,0,0,11.28,0,0,0,0,0,28.2,1.61,0,0,5.64,0,0.81,0,0,0,2.42,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0,27.54,0.57,0,0,8.61,0,0,0,0,0,9.75,0,2.87,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,1.96,0,0,0,1.96,3.93,0,0,0,0,0,42.21,0,0,0,11.78,0,0,0,0,0,12.76,0,0,0,0,0,0,0
 72-82,0,2.94,0,0.98,0.98,19.63,12.76,0,0,0.98,2.94,31.41,0,0,0,0,0.98,97.18,7.85,0,0.98,40.25,0,0,0,0,0.98,48.1,0,0.98,0,0,0.98,0,1.96
 84-94,0,2.12,0,1.06,2.12,24.43,8.5,0,0,0,2.12,82.84,0,0,0,0,0,441.81,6.37,1.06,1.06,30.8,0,0,0,0,5.31,111.51,0,1.06,0,0,0,0,1.06
 96-106,0,7.65,0,5.46,5.46,67.76,31.69,0,2.19,1.09,8.74,264.47,0,3.28,1.09,0,3.28,693.96,20.76,2.19,5.46,159.56,1.09,0,0,0,19.67,133.33,0,2.19,0,1.09,6.56,2.19,2.19
108-118,0,6.89,0,6.13,3.06,123.32,27.57,0,3.06,0,3.83,455.75,0,4.6,3.06,2.3,0,1417.8,20.68,0,3.06,108.77,2.3,0.77,3.06,0.77,5.36,137.87,0.77,3.06,0.77,0,6.13,0.77,2.3
120,0,3.92,0,3.92,3.92,45.08,13.72,1.96,0,0,3.92,305.73,1.96,5.88,1.96,0,0,646.73,11.76,0,7.84,94.07,0,0,0,0,7.84,97.99,0,0,0,0,1.96,1.96,0
