stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,taste
  3-4,65.89,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,1,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0.57,0,0,0,0,0.57,0.57,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,1.96,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96
