stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,9.44,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,2,0,0,2,4,13,0,0,0,2,0,0,1,5,0,0,1,0,0
 24-34,0,0,0,0,13.95,0.82,0,0.82,0,3.28,0.82,1.64,0,0,0,0,0,0,0,2.46,0,6.57,0,0,1.64,5.75,3.28,0,0.82,0,9.85,0,0,0,4.1,0,0,0.82,0,0
 36-46,0,0,0,0,8.06,0,0,0.81,0,0.81,2.42,0.81,0,0,0,0,0,0,0,0.81,0,12.89,0,0,4.83,12.89,2.42,0,0,0,1.61,0,0,0,7.25,0,0,0,0,0.81
 48-58,0,0,0,0,2.87,0,0,2.3,1.72,1.72,3.44,0,0.57,0.57,0,0.57,0,0,0,0,0.57,24.1,0.57,0,4.02,13.77,2.87,0,0,0,1.72,0,0,0,2.87,0,0,0,0,0
 60-70,0,0,0.98,0,5.89,0,0,14.72,0,0,0.98,4.91,0,0,0,0,0,0,0,0,0,37.3,0,0,1.96,22.58,2.94,0,0,0,1.96,0,0,0,6.87,0,0.98,0.98,0,0
 72-82,0,0,1.96,0,4.91,0.98,0.98,10.8,0,1.96,2.94,4.91,0.98,0,0,0,0,0,0,0,0,46.14,2.94,0,4.91,15.71,2.94,0.98,0,0,0.98,0,0,0,0,0,1.96,1.96,2.94,0
 84-94,0,0,0,0,4.25,1.06,2.12,12.74,0,3.19,4.25,3.19,2.12,0,1.06,1.06,0,3.19,1.06,4.25,0,47.79,0,0,4.25,12.74,1.06,0,0,0,2.12,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,6.56,1.09,7.65,7.65,0,2.19,4.37,1.09,5.46,0,0,0,0,0,1.09,5.46,1.09,33.88,0,1.09,1.09,15.3,0,1.09,0,1.09,0,1.09,1.09,0,1.09,1.09,1.09,0,1.09,1.09
108-118,0,0,0,0,3.83,1.53,26.04,6.89,0.77,0,1.53,0,11.49,0,0.77,1.53,0.77,3.06,0,4.6,0,15.32,0,0.77,2.3,19.15,0.77,0,3.06,0,0,0,0,0,0.77,1.53,0,0,1.53,0
120,0,0,0,0,5.88,0,13.72,1.96,0,1.96,1.96,7.84,19.6,0,0,0,0,0,0,1.96,0,7.84,0,1.96,1.96,19.6,0,0,0,0,0,0,0,0,0,0,3.92,0,1.96,0
