stage,epidermis,erythrocytes,eye,glial,immune,mesenchyme,mural_cell,neural,olfactory,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,4.1,0
 36-46,0,0,0,0,0,0,0,7.25,0.81,0,0.81,0
 48-58,0,0,1.15,0,0,0,0,6.89,0,0,1.15,0
 60-70,0,0,0,0.98,0,0,0,12.76,0,0,5.89,0
 72-82,0,0,0,1.96,0,0.98,0,11.78,0,0,8.83,0
 84-94,0,0,2.12,1.06,1.06,1.06,0,7.43,0,1.06,7.43,0
 96-106,2.19,0,0,0,2.19,1.09,1.09,6.56,0,0,7.65,0
108-118,1.53,0,0,1.53,1.53,0,0,6.89,0,0.77,13.02,0
120,1.96,1.96,0,3.92,0,0,0,11.76,0,0,7.84,1.96
