stage,blastomeres,eye,fin.mesenchyme,glial,immune,iridophores,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal.cord,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.46,0.82,0.82,0.82,0
 36-46,0,0.81,0,0,0,0,0,0,0,4.03,0,0,1.61,0
 48-58,0,1.72,0.57,1.15,0,0,0,0,0,1.72,0,1.15,1.15,0.57
 60-70,0,5.89,0,0,0,0.98,1.96,0,0.98,3.93,0,0,0,0
 72-82,0,0.98,0,0,0,0,0.98,0,0,1.96,0,0,1.96,0
 84-94,0,1.06,0,0,0,0,2.12,0,1.06,1.06,0,1.06,0,0
 96-106,0,0,0,0,0,0,1.09,1.09,0,1.09,0,1.09,0,0
108-118,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
