stage,epidermis,eye,fast_muscle,glial,mesenchyme,neural,olfactory,otic,slow_muscle,spinal_cord
  7-9,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,1,0,0
 24-34,0,0,0,0,0,0.82,0,0,2.46,0
 36-46,0,0,0,0,0,1.61,0.81,0,3.22,0
 48-58,0,0.57,0,0.57,0.57,2.3,1.15,0,0.57,1.15
 60-70,0,0.98,0,0,0,1.96,0,0,1.96,0
 72-82,0,7.85,0.98,0,0.98,3.93,1.96,0,0,0
 84-94,0,5.31,2.12,1.06,0,0,0,0,1.06,0
 96-106,1.09,1.09,2.19,0,0,0,1.09,0,1.09,0
108-118,0.77,0.77,1.53,0,0.77,3.06,0,0,4.6,0
120,0,3.92,1.96,0,3.92,1.96,0,0,0,0
