stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,0,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,7.89,0,0,2.63,0,2.63,0,0,0,0,0,31.54,0,26.29,2.63,2.63,0,0,0,0
 10-12,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,22.03,3.15,25.18,0,0,0,3.15,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,8,0,1,0,0,1,0,1,2
 24-34,0,0,0,0,0,0.82,0,0,0.82,0,0.82,0,0,5.75,0,0,0,0,0,0,0,1.64
 36-46,0,0,0,0,0,0.81,0,0,0,1.61,0,0,0,7.25,0,0,0,0,0,0,0,1.61
 48-58,0,0,0,0.57,0,1.15,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98,1.96,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,5.89,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,1.06,0,1.06,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0.77,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
