stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,73,1,0,30,0,0,0,0,0,0,0,0,0,0,0,15,11,1,0,42,1019,0,0,0,1,0,0,19,0,0,143,48,0,0,0,0,66
 24-34,0,41.04,0,0,19.7,0,0.82,2.46,2.46,0,1.64,0.82,0,0.82,0,0,12.31,100.97,0,0,129.7,2254.07,4.1,2.46,0.82,0,0,4.1,0.82,0,0,13.13,199.47,0,0,2.46,0,172.38
 36-46,0,9.67,0,0,16.11,0,0.81,0,82.18,0,0,1.61,0,0,0,0,0,157.11,0,0,57.2,2015.78,0.81,0.81,0.81,0,0,4.03,0,0.81,0,0,228,0,0,0.81,0,165.97
 48-58,0,4.02,1.15,0,49.92,0,1.15,0.57,133.7,0,1.15,0.57,0.57,1.72,0,0,0.57,150.91,0,0,35,1233.68,0.57,1.15,0.57,0,0,1.72,0,0.57,0,0,169.85,0,0,0,0,174.44
 60-70,0,3.93,1.96,0,40.24,0,0,0,149.19,0,0,0,0,0,0,0,0,123.67,0.98,0.98,46.13,1050.23,0,1.96,0.98,0,0,0,0,0,0,0,50.06,0,0.98,1.96,0,161.95
 72-82,0,11.78,16.69,0,97.18,1.96,0,2.94,155.1,0,0.98,0,0,1.96,0,0,0,160.99,0,0,52.03,906.07,0,0.98,0.98,0,1.96,2.94,0,0,0,0,12.76,0,0,2.94,2.94,160.99
 84-94,0,16.99,14.87,0,140.19,0,0,1.06,131.69,1.06,0,0,0,8.5,0,1.06,0,129.57,0,4.25,61.6,589.43,1.06,2.12,1.06,0,1.06,6.37,0,2.12,0,0,15.93,0,0,1.06,0,127.44
 96-106,0,14.21,20.76,1.09,111.47,2.19,0,2.19,103.82,0,0,3.28,1.09,1.09,3.28,1.09,0,119.12,0,1.09,59.01,462.27,0,2.19,1.09,0,1.09,5.46,0,1.09,1.09,0,3.28,1.09,0,4.37,0,157.37
108-118,0.77,9.19,11.49,0,45.19,0.77,0,0.77,81.19,0,0.77,0,0,1.53,0,2.3,0,111.06,0,0,48.26,644.17,0,3.06,2.3,0,0,2.3,0,0,0,0,4.6,0,0.77,3.06,1.53,179.24
120,0,11.76,9.8,0,64.67,1.96,3.92,1.96,78.39,1.96,0,0,1.96,3.92,0,1.96,0,88.19,0,1.96,68.59,562.46,1.96,7.84,0,0,0,3.92,0,0,0,0,0,0,0,1.96,0,76.43
