stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,6.57,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0,0,0,0,0,1.72,0,0.57,0,0,3.44,0,0.57,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,3.93,0,0,0,0,0,4.91,0,0,0,0,0.98,0,0,0,0,2.94,0,0,0,0
 72-82,0,0,0,0,3.93,0,0,0.98,0,0.98,16.69,0.98,2.94,0,0,3.93,0,0,0,0,0.98,0,0.98,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,9.56,0,1.06,0,0,0,0,0,0,0,1.06,0,0,1.06,0
 96-106,0,1.09,0,0,2.19,1.09,0,0,0,0,119.12,0,1.09,1.09,1.09,10.93,0,1.09,0,0,3.28,0,0,1.09,1.09
108-118,0,0,2.3,0.77,0.77,0.77,0.77,0,0,0,91.15,0,0.77,0,0,9.96,0,0,0,0,1.53,0,0,0,0
120,0,0,1.96,0,3.92,0,0,0,0,0,127.39,0,0,0,0,9.8,0,0,0,0,1.96,0,0,0,0
