stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,13.14,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,5,5,5,0,13,0,1,0,0,0,0,5,0,0,51,1,1,10,2,0,4,10,3,55,0,0
 24-34,0,0,0,0,0,0.82,0.82,17.24,0,0,0,0,0,0,0.82,0,1.64,15.6,0.82,1.64,0,0,0,0,2.46,0,27.91,0,0
 36-46,0,0,0,0.81,0,8.06,0,7.25,0.81,0,0.81,0,0,0,0.81,0,0,27.39,0,8.86,3.22,0,0,0,2.42,0,20.14,0.81,0
 48-58,0,0,0,0,0,5.74,0,5.16,0,0,0,0,0,0.57,2.87,0.57,0,12.62,0,4.59,0.57,0,0,0,0,0,14.92,0,0
 60-70,0,0,0,0,0,8.83,0,6.87,0,0,0,0,1.96,0,1.96,0,0,12.76,0,1.96,1.96,0,0,0,0,0,11.78,0,0
 72-82,0,0.98,0,0,0.98,3.93,0,8.83,0,0,0,0,1.96,0,0.98,0,0.98,9.82,0,7.85,2.94,0,0.98,0,0,0,6.87,0,0
 84-94,0,0,0,0,0,1.06,0,4.25,0,0,0,0,1.06,0,0,1.06,0,4.25,0,5.31,3.19,0,0,0,0,0,3.19,0,0
 96-106,0,0,0,1.09,1.09,2.19,0,3.28,0,0,0,0,1.09,0,1.09,0,0,5.46,0,4.37,9.84,0,1.09,0,0,0,7.65,0,1.09
108-118,0,0,0,0,0,0,0,3.83,0,0,0,1.53,1.53,0.77,3.06,0,0,6.89,0,5.36,10.72,0,0,0,2.3,0,4.6,0,0
120,0,0,0,0,0,5.88,0,1.96,1.96,0,0,0,1.96,0,1.96,0,1.96,5.88,0,7.84,3.92,0,1.96,0,1.96,0,0,0,0
