stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,liver,mesenchyme,muscle,neural,periderm,pgc,spinal_cord,taste
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0,0,0.82,0.82,0,0,2.46,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,1.96,0,3.93,0,0.98,0,6.87
 84-94,0,0,1.06,0,1.06,0,0,0,0,2.12,0,0,2.12,1.06,0,1.06,52.04
 96-106,0,0,1.09,0,1.09,1.09,0,0,0,0,1.09,1.09,1.09,0,0,0,128.96
108-118,0,0,0.77,0,0,0.77,0.77,0.77,1.53,0,3.83,0,1.53,1.53,0,0,149.36
120,0,0,0,0,0,1.96,0,0,0,0,1.96,0,1.96,0,0,0,50.95
