stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,382.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,367.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,12.26,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,15.77,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,136.69,2.63,0,0,34.17,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,22.03,0,0,3.15,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,1,19,4,13,0,0,0,8,2,0,1,0,1,0,0,0,0,10,0,15,183,5,0,3,3,0,0,0,25,1,1,17,56,0,0,1,0,0
 24-34,0,0,0,1.64,5.75,0,28.73,0.82,1.64,0,4.1,0.82,0,0,0,0.82,0,0,0,0.82,26.27,0,12.31,350.51,1.64,1.64,1.64,0,0,7.39,0,0.82,0,1.64,2.46,88.65,0,0,4.93,0,0
 36-46,0,0,0,0,1.61,0,61.23,0.81,0.81,0,12.89,0,0,0,0.81,0,0.81,0.81,0,0,24.98,0,4.03,259.43,0.81,4.03,1.61,0,0,6.45,0,0,0.81,0,0,70.09,0,0,2.42,0,0
 48-58,0,0,0,0,2.3,0.57,78.04,0,0.57,1.15,15.49,0.57,0,0.57,0,0,0,0,1.15,0.57,39.02,2.3,5.16,151.48,0,0,4.02,0,0,4.02,0,0,0,0,0,43.04,0,0,2.3,0,1.15
 60-70,0,0,0,0,2.94,0,66.74,0,0,0.98,22.58,0.98,0.98,0,1.96,0,0,0,0.98,0,33.37,0,4.91,137.41,0,0.98,0,0,0,0.98,0,0,0.98,0,0,17.67,0,0.98,1.96,0,1.96
 72-82,0,0,0,0,1.96,0,47.12,0,0,0.98,23.56,0.98,0,0,0,0,0,2.94,0,0.98,42.21,0,4.91,82.46,0,2.94,0,0,0,0.98,0,0,0,0.98,0,9.82,0,1.96,1.96,0.98,0.98
 84-94,0,0,0,0,3.19,0,41.42,0,3.19,2.12,13.81,1.06,0,0,2.12,1.06,1.06,0,0,0,31.86,0,3.19,67.97,0,1.06,0,0,0,7.43,0,0,0,0,0,5.31,1.06,2.12,6.37,2.12,1.06
 96-106,0,0,0,0,5.46,0,27.32,0,0,2.19,17.49,0,0,2.19,1.09,0,0,1.09,1.09,0,24.04,1.09,6.56,61.2,1.09,2.19,0,0,0,7.65,0,0,0,1.09,0,5.46,0,1.09,6.56,0,0
108-118,0,0,0,0,2.3,0,24.51,1.53,0.77,0,9.96,0.77,0,0,0,0,0.77,0.77,0.77,0,26.81,3.06,4.6,65.87,0,1.53,1.53,0,0.77,3.83,0,0,0.77,0,0,3.06,0,0,3.06,0,0
120,0,0,0,0,5.88,0,15.68,0,0,0,15.68,0,0,0,3.92,0,0,0,0,0,15.68,0,5.88,45.08,1.96,3.92,0,0,0,7.84,0,0,0,0,0,1.96,0,0,3.92,0,0
