stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,4,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53,0,1,0,0,1,0,0,1,39,0,0,1,0,0
 24-34,0,0,0,0.82,0,4.93,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,327.52,0.82,13.13,0,0,0,0.82,0,0,100.14,0,0,3.28,0,0
 36-46,0,0,0,1.61,0,17.72,0,0.81,0.81,3.22,0.81,0.81,0,0,0,0,0,0,4.03,0,0,0.81,728.33,0.81,23.36,0.81,0,0.81,0,0,0,175.64,0,0,1.61,0,0
 48-58,0,0,0,1.15,0,82.05,0.57,0,0.57,18.94,0,0.57,0.57,0,0,0,0,0,9.75,0,0,1.15,899.15,0.57,13.2,0.57,0,1.72,0,0,0,145.75,0,0,1.72,0,1.15
 60-70,0,0,0,4.91,0,231.64,0,0.98,0,21.59,0,0,0,0,0,0,0,1.96,14.72,0,2.94,0,1575.34,0.98,11.78,0.98,0,1.96,0,0,0,159.01,0,0,2.94,0,0
 72-82,0,5.89,0,2.94,3.93,358.31,0,0,0,28.47,1.96,0.98,0,0,0,0.98,0,1.96,21.6,0,0,0.98,1464.64,0,14.72,1.96,0,0,1.96,0,0,72.64,0,0,0.98,1.96,0.98
 84-94,0,2.12,0,9.56,0,234.71,1.06,2.12,0,22.3,2.12,0,0,0,0,0,0,0,21.24,1.06,2.12,2.12,779.54,0,12.74,4.25,0,3.19,0,0,0,54.16,1.06,2.12,3.19,1.06,1.06
 96-106,0,2.19,0,9.84,5.46,187.97,0,0,0,30.6,0,1.09,1.09,2.19,0,0,0,0,16.39,0,1.09,0,687.4,0,16.39,3.28,0,3.28,0,0,0,21.86,0,0,0,0,1.09
108-118,0,1.53,0.77,9.96,1.53,162.38,0.77,0,0.77,16.85,1.53,0,0.77,0.77,1.53,0,0.77,0,13.02,0,0.77,0,630.39,0,13.02,2.3,0,1.53,0,0.77,0,11.49,1.53,0.77,2.3,1.53,1.53
120,0,3.92,0,9.8,3.92,192.06,0,0,1.96,17.64,0,1.96,0,0,0,1.96,0,0,17.64,0,0,3.92,848.59,0,17.64,0,0,3.92,0,0,0,15.68,0,0,0,0,0
