stage,blastomeres,epidermis,eye,glial,immune,mesenchyme,neural,otic,periderm,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,2.42,0,0,0.81,0
 48-58,0,0,0.57,0,0,0.57,2.87,0,0,0.57,0
 60-70,0,0,0,0,0,1.96,4.91,0,0.98,2.94,0
 72-82,0,0,0,0,0,2.94,1.96,0,0,0.98,0.98
 84-94,0,0,0,1.06,0,1.06,2.12,0,1.06,0,0
 96-106,0,0,0,0,2.19,0,0,1.09,0,0,0
108-118,0,0,0.77,0,0,0,2.3,0,0.77,0,0
120,0,1.96,0,1.96,0,0,1.96,0,0,0,0
