stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros,somites
  3-4,39.53,1093.77,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,24.52,980.74,6.13,0,0,0,36.78,24.52,12.26,18.39,0,0,0
  7-9,15.77,26.29,39.43,0,60.46,34.17,559.92,28.92,228.7,5.26,13.14,0,0
 10-12,0,28.32,37.76,6.29,59.79,12.59,679.75,50.35,232.88,0,3.15,18.88,6.29
