stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,422.94,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,13.14,0,0,15.77,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,220.81,2.63,0,0,52.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.91,6.29,0,0,84.97,0,0,0,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,29,14,19,0,0,0,8,0,0,0,0,0,2,0,1,2,18,0,10,249,3,2,2,6,0,0,1,27,7,1,32,92,0,0,1,0,0
 24-34,0,0.82,0,3.28,9.03,0.82,35.3,0,0,3.28,12.31,2.46,0,0.82,0,1.64,0,0.82,0.82,0.82,53.36,0.82,18.88,419.46,2.46,2.46,4.93,0,0,0.82,0,0,0.82,0,4.1,102.61,0,0,8.21,0,0
 36-46,0,0,1.61,0,4.83,0,52.37,0,0,2.42,17.72,0,0,0.81,0.81,0,0,0,0,0.81,38.67,0.81,14.5,317.43,0,1.61,0.81,0,1.61,1.61,0,0,0,0.81,0,97.49,0,0,4.83,0,0
 48-58,0,0,0,0.57,7.46,0,86.64,0,0,3.44,36.15,0.57,0,1.15,0.57,0,0,2.3,1.15,0,52.22,1.72,9.18,236.98,0,1.72,1.15,0,0,1.15,0,0,0,1.15,0,63.69,0,0,1.72,0,4.02
 60-70,0,0,0,0,0.98,0,111.89,0,1.96,5.89,40.24,0,0.98,0.98,0,0.98,0.98,0.98,0,0,55.95,2.94,5.89,314.09,0,0.98,3.93,0,0,0,0,0,0,0,0,52.02,0,0,2.94,0.98,0
 72-82,0,0,0,0.98,2.94,0.98,157.07,0,0.98,5.89,72.64,0.98,0,3.93,2.94,0,1.96,0.98,0,0,105.04,4.91,16.69,327.88,0,3.93,1.96,0,0.98,0.98,0,0,0.98,0.98,0,20.61,0,4.91,5.89,3.93,0.98
 84-94,0,0,2.12,0,10.62,1.06,81.78,0,0,4.25,43.54,2.12,0,1.06,4.25,0,2.12,0,0,1.06,52.04,3.19,6.37,170.99,1.06,0,2.12,0,0,3.19,0,0,0,0,0,19.12,1.06,1.06,3.19,2.12,1.06
 96-106,0,0,0,0,9.84,0,75.41,0,2.19,4.37,38.25,1.09,0,2.19,4.37,1.09,1.09,1.09,0,1.09,53.55,1.09,4.37,136.61,1.09,5.46,1.09,0,1.09,3.28,0,0,1.09,0,0,13.11,2.19,1.09,5.46,3.28,2.19
108-118,0,0,0,0,9.96,1.53,65.11,0.77,1.53,3.06,30.64,0.77,0,0.77,6.13,1.53,3.06,0,1.53,0.77,45.96,0.77,6.13,221.36,2.3,0.77,5.36,0,1.53,1.53,0,0,0,0,0,6.13,0.77,0.77,5.36,0,0.77
120,0,0,0,0,3.92,3.92,39.2,0,1.96,3.92,13.72,5.88,0,1.96,0,1.96,0,0,0,0,31.36,1.96,3.92,192.06,0,0,0,0,0,3.92,0,0,3.92,0,0,0,0,0,1.96,0,0
