stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,3,0,1,0,0,1,2,0,2,40,0,0
 24-34,0,0,0.82,0,0,0,0,9.03,0,0,0,0.82,0,0.82,0,0,4.93,1.64,18.06,6.57,0,0,4.93,0,0,38.58,0,0.82
 36-46,0,0,0,0,0.81,0.81,0,2.42,0,0,0,0,0,0.81,0,0,12.89,0,28.2,0,0,0,3.22,0,0,26.59,0,0
 48-58,0,0,0,0,0.57,0,0,6.89,0,0,0,2.87,0,0.57,0,0,5.16,0.57,17.79,4.59,0,0,1.15,0,0,31.56,0,0
 60-70,0,0,0.98,0,0.98,0,0.98,11.78,0,0,0,7.85,0,0,0,0,13.74,0,33.37,8.83,0,0,4.91,0.98,0,18.65,0,0
 72-82,0,0,0,0,4.91,0,0,11.78,0,0,0,20.61,0,2.94,0,0,5.89,0,47.12,14.72,0,3.93,0.98,0,0,19.63,0.98,0.98
 84-94,0,0,0,0,7.43,1.06,0,12.74,1.06,0,0,29.74,0,2.12,1.06,0,2.12,0,49.92,24.43,0,0,3.19,0,0,15.93,0,0
 96-106,0,0,2.19,0,6.56,1.09,0,9.84,0,0,1.09,49.18,1.09,0,1.09,0,12.02,0,100.54,14.21,0,2.19,3.28,0,0,10.93,0,0
108-118,0,0,0.77,0.77,6.13,0,0,9.96,0,0.77,0,32.17,0,3.06,0,0,6.13,1.53,61.28,9.96,0,0.77,2.3,0,0,9.19,0,0.77
120,0,1.96,0,0,0,0,0,1.96,1.96,0,3.92,23.52,0,1.96,0,1.96,3.92,0,37.24,5.88,0,3.92,1.96,0,0,5.88,0,0
