stage,endocrine.pancreas,epidermis,eye,glial,gut,heart,ionocyte,mesenchyme,neural,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,0,0,0,0,1,0,0,1,0,0,0,0,1
 24-34,0,0.82,0,0,0,0,0,0,2.46,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0.57,1.72,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,3.19,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0.77,0,0,0,0.77,0.77,1.53,1.53,0,3.06,0.77,0
120,1.96,0,0,0,1.96,0,0,0,0,0,0,3.92,0,0
