stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,31.47,0,0,0,3.15,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,176.23,9.44,0,0,6.29,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,2,0,0,21,114,2,0,58,0,0,0,24,35,4,0,1,0,0,2,0,7,0,6,389,62,1,1,1,0,1,6,21,2,3,183,0,0,0,0
 24-34,0,0,0,16.42,9.03,0,0,32.83,0,0,0.82,13.95,9.85,0,1.64,0,0,0,2.46,3.28,11.49,0.82,0,418.64,9.03,0,0.82,0,0,0,0,30.37,0,1.64,150.22,0,0,0,0
 36-46,0,0,0,1.61,0,0.81,0,15.31,1.61,0,0,8.86,2.42,0,3.22,0,0,0,3.22,0.81,12.89,0.81,0.81,203.83,4.03,0.81,0,0,0,1.61,0,15.31,0,0,98.29,0,0,0,0
 48-58,0,0,0,0.57,0.57,0,0,34.43,1.15,0,0,10.9,1.15,0,4.02,0,0,0,2.87,0.57,24.1,0,0,75.74,0.57,1.15,1.72,0,0,1.15,0,3.44,0.57,0,57.95,0,0,0,2.3
 60-70,0,0,0,0,0.98,0,0,35.33,0.98,0,0.98,10.8,6.87,0,3.93,0,0.98,0,0.98,0.98,36.32,0,1.96,39.26,0,0,4.91,0,0.98,1.96,0,6.87,0.98,0,44.17,0,0,0,0
 72-82,0,0,0.98,0,2.94,0,0,28.47,0,0,0.98,9.82,1.96,0,6.87,0,0,0,2.94,1.96,32.39,1.96,0,38.28,0,1.96,2.94,0,0.98,6.87,0,4.91,0,0,26.5,0,0,0.98,0.98
 84-94,0,0,0,1.06,1.06,0,1.06,19.12,0,0,1.06,5.31,4.25,0,1.06,1.06,1.06,0,2.12,3.19,47.79,0,0,31.86,0,1.06,8.5,0,1.06,10.62,0,7.43,0,0,12.74,0,0,0,0
 96-106,0,0,0,0,2.19,0,4.37,20.76,1.09,0,1.09,6.56,10.93,0,0,1.09,1.09,2.19,5.46,2.19,20.76,1.09,2.19,22.95,0,0,9.84,0,0,9.84,0,5.46,0,0,4.37,1.09,0,0,0
108-118,0,0,0,0,6.89,0,5.36,16.85,3.06,0.77,1.53,8.43,6.89,0,0.77,0.77,4.6,0,8.43,0.77,22.98,0,0.77,22.21,0.77,2.3,6.89,0,0,5.36,0,4.6,1.53,0,5.36,0,0.77,0,1.53
120,0,0,0,0,0,0,1.96,9.8,1.96,0,0,7.84,7.84,0,1.96,0,0,0,3.92,0,21.56,0,0,37.24,1.96,0,0,0,1.96,1.96,0,3.92,0,0,1.96,0,0,1.96,0
