stage,blastomeres,epidermis,erythrocytes,eye,glial,heart,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,13.14,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,3,0,1,7,0,0,0,0,0,1,1,8,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,28.73,4.1,0,0,0.82,0,0,0,9.03,0,0,0
 36-46,0,0,0,0,1.61,0.81,0,0,0,4.03,0,0.81,69.29,2.42,0,0,0.81,0,0,0,16.92,0.81,0,0
 48-58,0,0,0,4.59,0.57,0,0,0,0.57,0.57,0,0,90.09,1.15,0,0,0,0,0,0,15.49,0,0,0
 60-70,0,0,0,18.65,2.94,0,0,0,0,0,0,0,146.25,0.98,0,0,0,0,0,0,21.59,0,0,0.98
 72-82,0,1.96,0.98,11.78,2.94,0,0,0,0,0.98,0,0,87.37,0.98,0,0,0,0,0,0,5.89,0,0,0
 84-94,0,0,0,12.74,0,0,0,1.06,0,0,1.06,0,45.67,0,0,0,0,0,0,0,6.37,0,0,0
 96-106,0,0,0,9.84,2.19,0,0,1.09,0,2.19,0,0,31.69,3.28,0,1.09,0,0,0,0,2.19,0,1.09,0
108-118,0,0.77,0,6.89,1.53,0,0.77,0,0,0,0,0,32.94,1.53,0,0,0,0,0,0,1.53,0,0,0
120,0,0,0,3.92,1.96,0,0,0,0,3.92,0,0,31.36,1.96,0,0,0,0,0,0,1.96,0,0,0
