stage,axial,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,hatching.gland,heart,lateral.line,liver,melanocytes,mesenchyme,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  7-9,2.63,0,2.63,0,0,0,0,2.63,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,1,20,0,0,0,0,1,0,3,16,2,1,0,0,22,1,58,0,0
 24-34,0,1.64,0,0,0,18.06,0,0,0,0.82,0,0,0.82,13.13,0,9.03,1.64,0,7.39,0.82,60.74,0,0
 36-46,0,0,0,0.81,0.81,14.5,0,0,0.81,0,0,0,0,16.92,0,10.47,0,0,6.45,0,29.81,0,0
 48-58,0,0.57,0,0,1.15,9.18,0,0,0,0,0,0,1.15,10.9,0,10.9,0,0,1.72,0,27.54,0,0
 60-70,0,0.98,0,0,0.98,7.85,0,0,0,0.98,0,0,0,8.83,0,13.74,0.98,0,0.98,0,18.65,0.98,0
 72-82,0,1.96,0,0,0,18.65,0.98,0,0,0,0,0,0.98,17.67,0.98,14.72,0.98,0.98,2.94,0,17.67,0,0
 84-94,0,2.12,0,0,5.31,15.93,1.06,0,0,0,0,1.06,0,6.37,0,10.62,0,0,4.25,0,10.62,0,0
 96-106,0,3.28,0,0,3.28,13.11,1.09,0,0,0,0,0,0,14.21,0,19.67,0,0,3.28,0,16.39,0,1.09
108-118,0,2.3,0,0,0,13.02,0.77,0,0,0,0,0,0,14.55,0.77,14.55,0.77,0,1.53,0,6.13,0,0
120,0,1.96,0,0,0,5.88,0,0,0,0,0,0,0,9.8,0,15.68,0,0,3.92,0,13.72,0,0
