stage,epidermis,erythrocytes,eye,glial,immune,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0
 14-21,1,1,1,1,0,0,1,1,11,0,0,0,0,2,0,1,0
 24-34,0,0,1.64,0.82,0,0,2.46,0.82,16.42,0.82,0.82,0,1.64,0,0.82,3.28,0.82
 36-46,0.81,0,4.03,0,0,0,0.81,0,9.67,0,0,0,0,0,0,2.42,0
 48-58,0.57,0,2.87,0.57,0,0,1.72,0.57,5.74,0,0,0,0,0,0,2.3,0
 60-70,0,0,0.98,0,0,0,1.96,0,3.93,0,0,0,0.98,0,0,0.98,0
 72-82,0,0,1.96,2.94,0,0,0.98,0,4.91,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,1.06,3.19,0,5.31,0,2.12,0,0,0,0,0,0
 96-106,2.19,0,0,2.19,0,0,2.19,0,3.28,0,0,0,0,0,0,0,0
108-118,0,0,1.53,1.53,0.77,0,1.53,0,3.06,0,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,3.92,0,11.76,0,0,0,0,0,0,1.96,0
