stage,axial,blastomeres,endoderm,eye,gut,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros
  3-4,79.07,1818.55,0,0,0,0,0,0,0,65.89,0,0
  5-6,116.46,1201.41,0,0,0,0,49.04,0,18.39,0,0,0
  7-9,7.89,5.26,7.89,2.63,0,5.26,147.21,5.26,49.95,0,7.89,0
 10-12,0,0,3.15,9.44,0,3.15,50.35,0,37.76,0,6.29,3.15
 14-21,0,0,0,0,0,0,1,1,0,0,1,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0
