stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,3.93,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,2.94,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0.98,63.81,4.91,0,0,0,0,0,0,0,0,0,0,0.98,0,5.89,0.98,0,0,26.5,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,6.37,0,140.19,8.5,0,1.06,1.06,2.12,1.06,0,0,0,0,0,1.06,0,3.19,0,0,1.06,30.8,0,0,0,0,0,3.19,0,0,0,1.06,0,0,0,1.06
 96-106,0,1.09,2.19,4.37,306,32.79,1.09,2.19,0,4.37,4.37,1.09,6.56,3.28,0,0,3.28,0,17.49,2.19,1.09,3.28,74.31,1.09,0,2.19,0,1.09,5.46,0,0,0,2.19,0,1.09,2.19,1.09
108-118,0,2.3,7.66,3.83,633.45,40.6,0.77,3.83,1.53,11.49,4.6,0,3.06,0.77,4.6,1.53,3.83,2.3,24.51,0,0.77,3.83,110.3,1.53,0.77,1.53,0,1.53,19.92,0.77,0.77,0,3.83,1.53,3.06,1.53,0.77
120,0,0,3.92,3.92,282.21,21.56,0,0,3.92,7.84,0,0,3.92,0,0,0,3.92,0,23.52,0,1.96,5.88,74.47,0,1.96,1.96,0,1.96,3.92,0,0,0,3.92,0,1.96,3.92,0
