stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0.57,1.72,0.57,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,2.94,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.96,0,32.39,0.98,0,0,0,3.93,0,0,0,0.98,0,0,0
 84-94,0,0,0,1.06,0,1.06,0,2.12,78.59,0,0,0,1.06,3.19,0,0,0,2.12,0,0,0
 96-106,0,1.09,0,3.28,0,0,2.19,2.19,238.24,5.46,0,0,1.09,29.51,0,1.09,2.19,3.28,0,1.09,0
108-118,0,0,0.77,2.3,0.77,0.77,0,3.06,386.81,1.53,0.77,0.77,0,12.26,0,0,0.77,0,0,0,0
120,0,0,0,1.96,0,0,0,0,201.86,0,0,0,0,5.88,0,0,1.96,1.96,0,0,1.96
