stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,2,1,0,0,1,0,1,0,0,1,0,0
 24-34,0,0,0,0,0,0,0.82,1.64,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,1.61,0.81,8.86,0,0,0,0,0,1.61,0
 48-58,0,0,0,0,0,0,1.15,5.16,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0.98,0.98,0,3.93,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0.98,0,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,3.19,1.06,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,1.53,1.53,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
