stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,glial,heart,immune,mesenchyme,neural,periderm,pronephros,slow.muscle,spinal.cord,xanthophores
  3-4,26.36,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
 24-34,0,0,0,0,0.82,0,0,0,0,7.39,0,0,0,1.64,2.46
 36-46,0,0,0,0,0,1.61,0,0,0,6.45,0,0,0,0.81,4.03
 48-58,0,0,0,0,0.57,0,0.57,0,0,9.18,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0.98,7.85,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0.98,10.8,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,1.06,7.43,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,1.09,0,0,0,4.37,0,0,1.09,0,0
108-118,0,0,0,0,0,1.53,0,0.77,1.53,9.96,0.77,0.77,0,0.77,0
120,0,0,1.96,0,1.96,3.92,0,0,1.96,9.8,0,0,0,0,0
