stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,25.18,0,0,9.44,0,3.15,0,0,0,0
 14-21,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,2,0,0
 24-34,0,1.64,0,0,0.82,2.46,0,0,0,3.28,0.82,0,4.1,0,0.82,7.39,1.64,0,0,0.82,0.82,0.82,0.82,0,0.82
 36-46,0,3.22,0,0,0,0,0.81,0,0,0,0,0,0,0,0,4.83,0.81,1.61,0,2.42,0,0,0,0,0
 48-58,0,1.72,0,0,0.57,0.57,0,0.57,0,0,0,0,1.15,0.57,0,2.3,1.15,0.57,0,1.15,0,0,0,0,0
 60-70,0,2.94,0,0,0.98,0,0,0,0,0,0,0,0,0,0.98,3.93,0,0,0,0,0,0,0.98,0,0
 72-82,0,1.96,0,0,0.98,0.98,0.98,0,0,0.98,0,0,0,0,0,2.94,0,0,0,0.98,0,0,0,0,0
 84-94,0,3.19,0,0,4.25,0,1.06,0,0,0,1.06,0,0,0,0,0,1.06,1.06,0,2.12,0,0,0,0,0
 96-106,0,7.65,1.09,0,1.09,0,2.19,0,1.09,3.28,1.09,1.09,1.09,2.19,0,3.28,2.19,1.09,0,5.46,0,0,0,1.09,2.19
108-118,0,3.06,0,0,0,0,1.53,0,1.53,2.3,0.77,0,0.77,0,0,0.77,0,0.77,0,3.83,0,0,0,0,0
120,0,15.68,0,1.96,0,3.92,1.96,0,3.92,0,5.88,0,0,0,0,5.88,0,1.96,0,7.84,0,0,0,0,0
