stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,10,193,53,0,34,0,1,0,18,13,0,1,0,8,0,1,1,2,76,0,0,65,583,17,6,4,17,0,13,86,12,5,110,188,0,0,17,0,0
 24-34,0,2.46,4.93,64.03,5.75,0,77.16,0,7.39,4.93,28.73,2.46,0,4.93,7.39,11.49,1.64,4.93,0.82,4.93,143.65,2.46,1.64,60.74,692.8,3.28,5.75,15.6,0,0.82,43.51,0.82,11.49,2.46,18.88,192.08,0,0,50.89,0,3.28
 36-46,0,0,0.81,25.78,2.42,0,95.07,1.61,4.83,4.03,33.84,4.03,0,2.42,5.64,4.83,1.61,2.42,1.61,7.25,148.24,2.42,1.61,32.23,376.25,3.22,6.45,4.03,0,0,29,0,4.03,0,0.81,130.52,0,0,32.23,0,4.03
 48-58,0.57,0,0.57,21.23,0,0,97.55,1.15,4.02,12.62,79.19,1.72,0,2.3,2.87,2.87,1.15,2.87,1.15,5.16,200.83,3.44,7.46,43.04,211.73,1.15,6.31,4.02,0,0,20.08,0,2.3,0,0,60.25,0,1.72,16.64,0,4.59
 60-70,0,0,0,24.54,1.96,0,58.89,0.98,5.89,2.94,75.58,4.91,0,2.94,4.91,0.98,2.94,3.93,2.94,0,173.73,0,9.82,20.61,103.06,0,5.89,2.94,0,1.96,18.65,0,2.94,1.96,0,17.67,0,4.91,13.74,0.98,0.98
 72-82,0,8.83,0,28.47,0.98,0,51.05,1.96,7.85,14.72,98.17,13.74,0.98,2.94,17.67,3.93,3.93,5.89,2.94,0,253.27,1.96,8.83,18.65,97.18,0,4.91,7.85,0,1.96,18.65,0,2.94,0,0,10.8,6.87,5.89,43.19,5.89,1.96
 84-94,0,5.31,1.06,43.54,5.31,1.06,55.23,1.06,15.93,2.12,46.73,24.43,2.12,0,11.68,5.31,8.5,4.25,3.19,4.25,135.94,1.06,10.62,16.99,72.22,2.12,3.19,7.43,0,4.25,53.1,0,6.37,2.12,0,1.06,8.5,7.43,19.12,7.43,5.31
 96-106,0,7.65,0,45.9,4.37,1.09,67.76,3.28,3.28,6.56,45.9,19.67,1.09,9.84,22.95,13.11,6.56,4.37,5.46,2.19,153,3.28,9.84,19.67,66.66,1.09,14.21,8.74,0,2.19,44.81,0,4.37,0,0,6.56,12.02,8.74,42.62,19.67,0
108-118,0,0.77,0,52.09,4.6,3.06,62.81,0,13.79,5.36,42.89,23.74,0,3.06,22.98,7.66,6.13,6.89,5.36,0.77,98.04,2.3,3.83,21.45,72.77,0.77,9.96,4.6,0,4.6,32.17,0,3.06,0,0,0.77,9.19,2.3,19.15,3.06,3.83
120,0,1.96,0,37.24,3.92,0,29.4,0,17.64,15.68,15.68,33.32,0,3.92,17.64,3.92,13.72,7.84,0,3.92,88.19,3.92,3.92,11.76,76.43,1.96,7.84,5.88,0,1.96,35.28,0,3.92,0,0,1.96,5.88,3.92,27.44,5.88,0
