stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
  3-4,26.36,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,15.73,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8,2,0,0,0,3,1,0,7,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,11.49,0,1.64,59.1,2.46,0,0,0.82,0,0,0.82,11.49,0.82
 36-46,0,0,0,0,0,0,4.03,0,1.61,0,0,0,0,0,0.81,0,10.47,0,2.42,122.46,0.81,0,0,0,0,0,0,24.17,0
 48-58,0,0,0,0,0.57,0,20.08,0.57,0,1.72,0,0,0.57,0,0,1.15,22.38,0.57,1.15,234.11,2.3,0,0,0,0,0,0,32.71,0.57
 60-70,0,0,0,0,0.98,0,42.21,0,0.98,0,0,0,0,0,0,0.98,19.63,0,0,322.92,0,0,0,0.98,0,0,0,29.45,0.98
 72-82,0,0,0,0,3.93,0.98,69.7,0.98,0.98,6.87,0,0,0,0,0,0,40.25,0,4.91,334.75,0.98,0,0,0.98,0,0,0,29.45,0.98
 84-94,0,0,1.06,0,5.31,0,41.42,0,1.06,4.25,0,1.06,0,0,0,1.06,38.23,1.06,3.19,149.75,0,0,0,0,0,0,0,25.49,0
 96-106,0,0,0,0,3.28,0,31.69,1.09,2.19,8.74,0,0,1.09,0,0,0,21.86,1.09,2.19,101.63,2.19,1.09,0,0,0,0,0,9.84,0
108-118,0,0,0,0,2.3,0,13.79,0,0.77,1.53,0.77,0,1.53,0.77,0,0,17.62,0,0,140.17,1.53,0,0,0.77,0,0,0,3.83,0.77
120,0,0,0,0,0,0,9.8,0,1.96,0,0,1.96,0,0,0,0,15.68,1.96,0,139.14,0,0,0,0,0,0,0,11.76,0
