stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,1,0,0,0,0,3,0,2,7,0,0,0,0
 24-34,2.46,0.82,0,7.39,0,0,0,0.82,0,0,0,0,0,0,0,0,4.93,0.82,0,1.64,27.91,0,0,1.64,0,0.82,0,0,0.82,7.39,0,0,0,0
 36-46,0.81,0,0,5.64,0,0.81,0,0.81,0,0.81,0,0.81,0.81,0,0,0,4.03,0,0,0,16.92,0,0,0.81,0,2.42,0,0,0,6.45,0,0.81,0,0
 48-58,1.15,0,0,7.46,0,0,0,2.3,0,0,0,0,0,0,0,0.57,5.74,0,0,0.57,26.4,0,0,0,0.57,0.57,0,0,0,4.59,0,0.57,0,0
 60-70,2.94,0,0,21.59,0,0.98,0,2.94,0,0,0,0.98,0,0,0,0,5.89,0,0,0,14.72,0,0,0.98,0,3.93,0,0,0,1.96,0.98,0.98,0,0
 72-82,0.98,0,0,18.65,0,0,0,2.94,0,0,0,0.98,0,0.98,0,0.98,8.83,0,0,0,23.56,0,0.98,0.98,0,2.94,0,0,0,2.94,0,0,0.98,0.98
 84-94,2.12,0,0,7.43,1.06,0,0,2.12,2.12,0,0,2.12,0,0,1.06,1.06,4.25,0,1.06,1.06,12.74,0,0,1.06,0,14.87,0,0,0,0,0,1.06,0,0
 96-106,1.09,0,0,17.49,0,1.09,1.09,0,0,0,1.09,2.19,0,0,0,0,6.56,1.09,1.09,1.09,6.56,0,1.09,0,0,10.93,0,1.09,0,0,0,2.19,1.09,0
108-118,0.77,0,0.77,5.36,0,0.77,0,0.77,0,0,0,2.3,1.53,0.77,0,0,0,0,0,0,9.96,0,1.53,0,0,13.02,0,0,0,0,0,2.3,0,0
120,3.92,1.96,0,7.84,0,0,0,1.96,0,0,0,3.92,1.96,0,0,0,1.96,0,1.96,0,13.72,0,0,1.96,0,3.92,0,0,0,0,0,3.92,0,0
