stage,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,heart,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0.82,22.16,0,0,0,10.67,0,1.64
 36-46,0,0,1.61,0,0.81,0,0,0,0,2.42,0,20.95,0,0,0,6.45,0,0.81
 48-58,0,0,13.2,0,1.15,0.57,0,0,0,7.46,0,34.43,0.57,0.57,0,9.75,0,1.15
 60-70,0,0,26.5,0,2.94,0,0,0,0.98,8.83,0,39.26,0,0,0,7.85,0.98,1.96
 72-82,0,0,28.47,0.98,3.93,0,0,0,0,5.89,0.98,47.12,0,0,0,1.96,0.98,0.98
 84-94,0,1.06,7.43,1.06,3.19,0,0,0,0,7.43,1.06,19.12,1.06,0,0,1.06,0,1.06
 96-106,1.09,0,15.3,0,1.09,0,0,1.09,0,7.65,0,22.95,0,0,1.09,0,0,0
108-118,0,0.77,8.43,0.77,0.77,0,0.77,0,0,3.83,0,15.32,0,0,0,0,0,0.77
120,0,0,3.92,1.96,0,0,0,0,0,1.96,0,7.84,0,0,0,0,1.96,0
