stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,0,12.59,0,0,0,0,0,0,0,0,34.62,0,0,0,0,0,0,18.88,3.15,0,0,31.47,0,0,3.15,3.15,0,0,0,0
 14-21,0,0,8,11,0,0,1,0,0,0,1,0,7,0,0,1,0,0,5,0,1,1,1,1,3,30,4,3,0,0,0
 24-34,0,0.82,0.82,3.28,0,0,1.64,0,0,0,0,0,16.42,0.82,0,0.82,0.82,0.82,11.49,0,8.21,3.28,0,0,0,41.86,1.64,0.82,0,0.82,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0,7.25,0,0,0.81,0.81,0,11.28,0.81,14.5,0.81,0,0.81,0,24.98,0,0.81,0,0,0
 48-58,0,0,0,1.15,0,0,1.15,0,0,0.57,0,0.57,5.74,0.57,0.57,0.57,0.57,0.57,5.74,0,8.61,0.57,0,0,0,20.08,0,2.3,0,0,0
 60-70,0,0,0,0,0,0,2.94,0.98,0,0,0,0.98,5.89,0,0,0.98,0.98,0.98,6.87,0,16.69,0.98,0,0,0,20.61,0,0.98,0,0,0
 72-82,0,0,0,0.98,0,0,6.87,0,0,0.98,0.98,0,7.85,1.96,0,2.94,0,0,3.93,0,24.54,1.96,0,0.98,0,10.8,0,1.96,0,0,0.98
 84-94,0,0,0,0,1.06,0,0,1.06,0,1.06,0,0,13.81,0,0,1.06,1.06,0,3.19,0,22.3,1.06,0,0,0,32.92,0,0,1.06,0,0
 96-106,0,0,0,1.09,0,0,3.28,0,0,0,3.28,0,18.58,1.09,0,2.19,1.09,0,3.28,0,27.32,1.09,0,3.28,0,28.41,0,1.09,0,1.09,0
108-118,0,0.77,0,3.06,0,1.53,3.06,0,0.77,0.77,0.77,0,8.43,1.53,0.77,0.77,0.77,0,6.89,0,13.79,1.53,0,0,0,19.92,0,0.77,0.77,0,0.77
120,0,0,0,3.92,0,0,1.96,1.96,0,0,0,0,13.72,0,0,1.96,0,0,0,1.96,5.88,1.96,0,0,0,19.6,0,0,0,1.96,0
