stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,131.78,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,220.67,373.91,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,5.26,0,0,5.26,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0,7.39,0,0.82,0,0,1.64,0,2.46,0,0,0,0,0
 36-46,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,1.61,0,0.81,0,0,0,4.03,0.81,1.61,0,0,0,0.81,0.81,0.81,3.22,0,0.81,0.81
 48-58,0,0,0,0,0,0,1.72,0,0,0,0.57,0,0,0,0.57,0,0.57,0.57,0,2.87,0,0,0.57,13.2,0,1.15,0,0,0,0,1.72,2.3,5.16,0,0,0.57
 60-70,0,0,0,0,1.96,0,2.94,0,0,0.98,9.82,0,0.98,0,0,0,0,0,0,0,0.98,0,0,16.69,0,0.98,0,0,1.96,0,0.98,2.94,2.94,0,0.98,0
 72-82,0,0,0,0,0.98,0,8.83,0,0,4.91,19.63,0,0,0,0.98,0,0.98,0,0,5.89,0,0,0,21.6,0,4.91,0,0,15.71,0,0.98,7.85,0.98,0,0,0
 84-94,0,0,1.06,3.19,7.43,0,9.56,0,0,3.19,36.11,0,0,0,0,0,1.06,1.06,0,3.19,2.12,1.06,0,12.74,0,5.31,0,0,13.81,0,4.25,26.55,1.06,0,1.06,0
 96-106,0,0,0,0,9.84,1.09,7.65,3.28,0,5.46,43.71,0,2.19,0,4.37,0,0,0,0,8.74,5.46,0,0,13.11,0,8.74,1.09,0,97.26,0,4.37,39.34,2.19,1.09,0,0
108-118,0,0,2.3,2.3,22.21,0.77,6.13,9.19,0.77,0.77,52.85,0,0,1.53,8.43,0.77,0.77,1.53,0,3.06,9.96,0.77,0.77,7.66,0,7.66,0.77,0,164.68,0,8.43,37.53,0,0,0.77,0
120,0,0,0,0,13.72,0,17.64,9.8,0,1.96,37.24,0,0,1.96,3.92,0,0,0,0,3.92,5.88,0,1.96,11.76,1.96,17.64,0,0,170.5,0,3.92,7.84,0,1.96,0,0
