stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
 14-21,1,10,2,8,0,0,5,1,1,0,0,0,10,0,5,128,2,3,2,4,4,2,33,0,0
 24-34,0,0.82,0,14.78,0,0,4.1,0,0,0.82,0,0,8.21,0,4.1,170.74,0,0.82,0,0.82,0,0.82,32.01,0,1.64
 36-46,0,0.81,0,33.03,0,0,0.81,0,0,0,0,0,8.06,0,4.03,89.43,0.81,0,0,1.61,0,0,22.56,0,0
 48-58,0,2.87,0,69.43,0.57,0,6.31,0,0,0,0,0.57,13.77,2.3,2.3,107.3,0,0,0,0.57,0,0,18.94,0,0
 60-70,0,0,0,44.17,0,0,6.87,0,0,0,0,0,3.93,0,0,43.19,0,0,0,0,0,0,4.91,0,0
 72-82,0,0,0,13.74,0,0.98,1.96,0,0,0,0.98,0,3.93,0,1.96,28.47,0,0,0,0,0,0,0.98,0,0
 84-94,0,1.06,0,15.93,0,1.06,1.06,0,0,0,1.06,0,8.5,2.12,1.06,19.12,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,10.93,0,0,4.37,1.09,0,0,0,0,2.19,0,0,13.11,0,0,0,0,0,0,0,1.09,0
108-118,0,0.77,0,4.6,0.77,0,2.3,0,0,0,0,0.77,2.3,0,0.77,18.38,0,0,0,0,0,0,0,0.77,0.77
120,0,0,1.96,5.88,0,0,0,0,0,0,1.96,0,1.96,0,0,9.8,0,0,0,0,0,0,0,0,0
