stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,508.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,13.14,0,28.92,0,0,0,31.54,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,239.21,5.26,0,0,73.6,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,6.29,0,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,185.67,0,0,0,72.38,0,0,3.15,0,25.18,0,0,0,0,0,0,0
 14-21,0,0,0,1,6,3,0,2,0,0,3,0,0,1,0,0,0,0,2,0,0,2,57,0,0,0,0,0,0,0,3,0,5,27,0,0,0,0,0
 24-34,0,0,0.82,0,4.1,1.64,0,14.78,0,0,3.28,0,0,0.82,0.82,0,0,0,4.93,0,0.82,4.1,110.82,0,0.82,0,0,0,0.82,0,0,0,0,20.52,0,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,0,15.31,0,0,3.22,0,0,0,0,0,0.81,0,9.67,0,0.81,4.03,64.45,0,0.81,0.81,0,0,1.61,0,0,0,0,17.72,0,0,1.61,0,0
 48-58,0,0,0,0,1.72,0,0,11.48,0,0,4.02,0,0,0,0,0,0,0.57,9.75,0,0.57,1.72,61.97,0,0,0.57,0,0,0,0,0,0.57,0,6.89,0,0,0.57,0,0
 60-70,0,0,0,0,1.96,0,0,13.74,0,0.98,1.96,0,0,0,0,0,0,0,13.74,0,0,0,58.89,0,0,0,0,0.98,0,0,0,0,0,7.85,0.98,0,0,0,0.98
 72-82,0,0,0,0,0.98,0.98,0,12.76,0,1.96,5.89,0,0,0,0.98,0,0,0,17.67,0.98,0,0.98,46.14,0,0,2.94,0,0,1.96,0,0,0,0,3.93,0,0.98,3.93,0,0
 84-94,0,0,0,0,2.12,0,0,14.87,1.06,1.06,4.25,0,0,0,0,1.06,0,0,11.68,1.06,2.12,1.06,23.36,0,1.06,1.06,0,0,0,0,0,0,0,3.19,1.06,0,2.12,1.06,0
 96-106,0,0,0,0,0,0,1.09,6.56,0,0,1.09,1.09,0,0,0,1.09,0,0,5.46,0,0,0,18.58,0,0,0,0,0,1.09,0,0,0,0,2.19,0,0,1.09,0,0
108-118,0,0,0,0,1.53,0,0,7.66,0,0.77,1.53,0.77,0,0.77,0,0,0,0,7.66,0,0,0,24.51,0,0.77,0,0,0,2.3,0,0,0,0,0.77,0,0,0.77,0.77,0.77
120,0,0,0,0,3.92,3.92,0,9.8,0,1.96,3.92,0,0,1.96,0,0,0,0,11.76,0,0,1.96,33.32,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0
