stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,gut,hatching_gland,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,118.6,2688.3,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0
  5-6,147.11,1415.95,0,0,0,0,0,18.39,0,0,0,42.91,0,12.26,24.52,0,0,0,0,0
  7-9,7.89,23.66,13.14,0,0,28.92,0,7.89,0,0,0,404.82,5.26,139.32,0,7.89,0,0,0,0
 10-12,0,6.29,0,0,3.15,18.88,0,0,0,0,0,56.65,0,31.47,0,6.29,0,3.15,3.15,0
 14-21,0,0,0,0,2,1,1,0,0,1,1,21,0,0,0,1,5,0,0,7
 24-34,0,0,0,0.82,0,0.82,0,0,0.82,1.64,0.82,0,0.82,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.61,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
