stage,axial,blastomeres,epidermis,eye,fin.epithelia,heart,ionocyte,mesenchyme,mucous,mural.cell,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,226.8,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,23.66,0,0,5.26,57.83,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,15.73,0,0,6.29,25.18,3.15,0
 14-21,0,0,1,0,0,0,0,1,0,0,0,0,0,0,26,0,2
 24-34,0,0,0.82,0,0.82,0.82,0.82,0.82,0,0,4.93,0,0,0,36.94,0,2.46
 36-46,0,0,0,0.81,0,0,0,0,0,0,11.28,0,0.81,0,13.7,0,0.81
 48-58,0,0,0,2.3,0,0,0,1.15,0,0,3.44,0.57,0,0,9.75,0,0
 60-70,0,0,1.96,4.91,0,0,0,0.98,0.98,0,0.98,0,0,0,8.83,0,0
 72-82,0,0,2.94,1.96,0,0,0,0,2.94,0,1.96,0,0,0,13.74,0,0
 84-94,0,0,0,2.12,0,0,1.06,0,1.06,1.06,1.06,1.06,0,0,42.48,0,0
 96-106,0,0,9.84,0,0,0,1.09,0,1.09,0,1.09,0,0,0,31.69,0,1.09
108-118,0,0,8.43,2.3,0.77,0,0,0,0.77,0,1.53,0.77,0,0,26.81,0,0
120,0,0,13.72,0,0,0,0,0,0,0,0,1.96,0,0,31.36,0,0
