stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,508.76,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,15.77,0,21.03,0,0,0,36.8,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,299.67,2.63,0,0,78.86,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,25.18,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.02,9.44,0,0,97.56,0,0,3.15,3.15,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,4,0,0,11,0,0,0,1,1,0,0,0,0,0,2,0,7,0,0,7,151,2,1,0,2,0,0,1,7,0,0,18,51,0,0,0,0,0
 24-34,0,0,0,1.64,1.64,0,0,18.06,0,0,0,1.64,0,0,0,0,0,0,1.64,0,8.21,0,0,0.82,374.31,0.82,4.93,0.82,0,0,0.82,0,0,0,0,0,87.01,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,41.09,0,0,1.61,8.86,0,0,0,0,0,0.81,0.81,0,6.45,0,0,4.83,926.52,0,6.45,3.22,0,0,1.61,0.81,0,0,0.81,0.81,170,0,0,3.22,0,0
 48-58,0,0,0,0,4.59,0,0,189.36,1.15,0.57,0.57,17.79,0,0,0,0,0,1.15,0,0,13.77,0,0.57,2.87,1222.78,0,7.46,2.87,0.57,0,1.72,0,0,0,0,0,200.83,0,0.57,1.72,0,1.15
 60-70,0,0,0.98,0,0.98,0,0,566.34,0,1.96,0,17.67,0.98,0,1.96,0,0,0,0,0,22.58,0,0,0.98,1807.96,0.98,6.87,1.96,0,0,2.94,0,0,0.98,0,0,256.18,0,0.98,0,0,1.96
 72-82,0,0,0.98,0,11.78,0.98,0,569.36,0,0,1.96,43.19,0.98,0,1.96,0,0.98,0.98,0,0,34.36,0.98,0,2.94,1322.3,0,11.78,2.94,0,0,0,0,0,0,0,0,136.45,0,3.93,3.93,0,0.98
 84-94,0,0,0,0,13.81,3.19,0,341.98,0,2.12,1.06,33.99,0,0,5.31,0,1.06,0,1.06,1.06,21.24,0,3.19,5.31,595.8,1.06,8.5,3.19,0,0,6.37,0,0,0,0,0,69.03,0,1.06,2.12,1.06,0
 96-106,0,0,0,0,13.11,2.19,0,271.03,0,0,0,30.6,0,0,4.37,1.09,2.19,0,0,0,20.76,0,3.28,5.46,488.5,1.09,9.84,6.56,0,1.09,3.28,0,0,0,0,0,32.79,2.19,3.28,1.09,1.09,1.09
108-118,0,0,0.77,0,11.49,0.77,0,220.6,0.77,2.3,1.53,26.04,0.77,0,1.53,0.77,2.3,0.77,0,0.77,20.68,0.77,0.77,2.3,573.71,0.77,5.36,2.3,0,0,3.83,0,0,0,0,0,25.28,1.53,2.3,3.06,0,0.77
120,0,0,0,0,21.56,5.88,1.96,207.74,0,1.96,0,31.36,0,0,3.92,0,5.88,1.96,1.96,0,23.52,0,0,1.96,682.01,9.8,9.8,1.96,0,0,1.96,0,0,0,0,0,35.28,3.92,5.88,0,0,0
