stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,15.73,0,0,3.15,0,0,0,0,0
 14-21,1,0,0,3,4,2,59,0,0,0,0,11,3,82,1,2,7,5,0,0,21,0,104,0,0,0
 24-34,0,0,0.82,0.82,0,1.64,36.94,0,0,0,0,6.57,2.46,47.61,0,0.82,0,0,0,0.82,5.75,0.82,69.77,0,0.82,0
 36-46,0,0,0,0,0,4.83,8.06,0,0,0,0.81,5.64,0,30.62,0,2.42,0,0,0,0,3.22,0,33.84,0,0,0
 48-58,0,0,0,0,0,5.16,2.87,0,0,0,0,1.15,0,10.9,0,0.57,0,0,0,0,0.57,0,11.48,0,0,0
 60-70,0,0,0,0,0,5.89,1.96,0,0,0,0,0.98,0.98,7.85,0,1.96,0,0,0.98,0,0,0,4.91,0,0,0.98
 72-82,0,0,0,0.98,0,0,0.98,0,0,0,0,0.98,0,8.83,0,0,0,0,0,0,0.98,0,2.94,0,0,0
 84-94,0,0,0,1.06,0,4.25,1.06,0,0,0,0,1.06,0,2.12,0,3.19,0,0,0,0,2.12,0,4.25,1.06,0,0
 96-106,0,0,0,1.09,0,3.28,2.19,1.09,0,0,0,2.19,2.19,7.65,0,2.19,0,0,0,2.19,0,0,0,0,1.09,0
108-118,0,0,0,1.53,0,4.6,3.83,0,0,1.53,0,3.06,1.53,9.19,0,2.3,0,0,0,0.77,0.77,0,0.77,0,0.77,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,1.96,0,0,0
