stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,7,0,6,0,0,2,0,0,0,0,0,0,0,0,73,0,3,6,0,1,1,0,1,19,0,1,0,0
 24-34,2.46,0,4.93,0,21.34,0,0,0,0.82,0,0,0,0,0,0,2.46,33.66,0,13.95,20.52,3.28,0,0,0.82,0,20.52,0,0.82,0,0
 36-46,0,0,1.61,0,44.31,0,0,0.81,0.81,0,0,0,0.81,0,0,0,32.23,0,8.06,4.83,0,0,0,1.61,0,12.89,0,0,0,0
 48-58,0,0,2.3,0,76.32,0,0,2.3,0,0,0,0,1.72,0,4.02,0.57,24.67,0.57,5.16,5.74,0.57,0,0,0,0,10.33,0,0,0,0
 60-70,2.94,0,0,0,57.91,0,0.98,9.82,3.93,0,0.98,0,0,0,7.85,0,21.59,0,8.83,12.76,0,0,0,0,0,1.96,0.98,0,0,0
 72-82,9.82,0,1.96,0.98,34.36,0,0,0.98,6.87,0,0,0,2.94,0.98,8.83,0,25.52,0,11.78,24.54,0,0,0,0,0,2.94,0,0,0.98,0
 84-94,6.37,0,2.12,0,25.49,0,0,2.12,7.43,0,0,1.06,0,0,1.06,0,12.74,0,5.31,20.18,1.06,0,0,2.12,0,4.25,0,0,0,0
 96-106,7.65,0,0,0,8.74,1.09,0,3.28,5.46,1.09,1.09,0,1.09,0,0,0,15.3,0,8.74,28.41,2.19,0,0,0,0,0,1.09,0,0,1.09
108-118,3.83,0,0,0,7.66,0.77,0,3.06,3.06,0,0,0,1.53,0,0.77,0.77,14.55,0,7.66,9.19,2.3,0,0,0.77,0,0.77,0,0,0,0
120,9.8,0,1.96,0,15.68,0,0,0,7.84,0,0,0,0,0,3.92,1.96,11.76,0,13.72,21.56,0,0,0,0,0,0,1.96,0,0,0
