stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,1568.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0
  5-6,67.43,1324,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,18.39,6.13,0,6.13,49.04,0,0,0,0,0,0,0,0,0
  7-9,10.51,0,7.89,0,0,7.89,0,0,0,39.43,0,0,0,0,0,0,0,0,0,210.3,10.51,0,78.86,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,91.26,9.44,0,34.62,3.15,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,27,4,3,0,0,1,0,2,0,1,0,1,11,0,0,5,42,2,1,0,0,1,10,0,5,26,10,0,0,1
 24-34,0,0,0,4.93,0,4.1,0,0.82,0,0,0,0.82,0.82,0,3.28,7.39,0.82,0,1.64,50.07,0,0,0,1.64,0,0,0,0,2.46,11.49,3.28,0,0.82
 36-46,0,0,0,1.61,0,1.61,0,1.61,0,0,0,0,0,0,0,4.83,0,0,0.81,31.42,0,0,0,0.81,0,0,0,0,0,9.67,2.42,0,0
 48-58,0,0,0,0,0,2.3,0.57,4.59,0,0,0,0,0,0,0.57,5.74,0,0,0.57,11.48,0,0,0,0,0,0,0,0,0,1.15,2.87,0,0.57
 60-70,0,0,0,0,0,0.98,0.98,1.96,0,0,0.98,0,0,0,0,7.85,0,0,0,5.89,0.98,0,0,0.98,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,4.91,0,3.93,0.98,0,0,0.98,0,0,0,16.69,0.98,0,0.98,11.78,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,1.06,0,3.19,0,0,1.06,0,0,0,0,0,0,9.56,0,1.06,0,7.43,0,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,3.28,0,3.28,0,0,2.19,2.19,0,0,0,7.65,0,0,0,4.37,0,0,0,0,0,0,0,0,0,0,2.19,3.28,0
108-118,0,0,0,1.53,0,6.13,0,3.06,0,0,0,2.3,0,0.77,1.53,5.36,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0.77,0,0.77
120,0,0,0,7.84,0,0,0,1.96,0,0,1.96,0,0,0,0,7.84,0,0,1.96,3.92,0,0,0,0,0,0,0,0,0,0,0,0,1.96
